"",BBK01.CEHRQ3,BBK01.CEHRQ3_FLAGS
"",longer-term time deposits (consolidated) debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:36,
1991-01,11.3,
1991-04,2.0,
1991-07,2.0,
1991-10,1.1,
1992-01,-0.4,
1992-04,-1.3,
1992-07,0.3,
1992-10,0.3,
1993-01,1.3,
1993-04,1.7,
1993-07,2.6,
1993-10,1.3,
1994-01,1.4,
1994-04,2.6,
1994-07,1.5,
1994-10,1.7,
1995-01,-1.0,
1995-04,2.6,
1995-07,1.9,
1995-10,0.8,
1996-01,4.1,
1996-04,-1.4,
1996-07,-2.4,
1996-10,1.0,
1997-01,0.1,
1997-04,1.3,
1997-07,3.0,
1997-10,4.9,
1998-01,3.4,
1998-04,2.8,
1998-07,1.6,
1998-10,-2.5,
1999-01,1.1,
1999-04,5.5,
1999-07,3.0,
1999-10,1.4,
2000-01,3.9,
2000-04,0.2,
2000-07,4.9,
2000-10,2.7,
2001-01,-0.1,
2001-04,5.7,
2001-07,8.0,
2001-10,7.7,
2002-01,5.0,
2002-04,3.5,
2002-07,4.3,
2002-10,5.9,
2003-01,4.9,
2003-04,6.3,
2003-07,6.3,
2003-10,1.9,
2004-01,-3.2,
2004-04,-6.8,
2004-07,3.6,
2004-10,0.4,
2005-01,8.7,
2005-04,16.4,
2005-07,15.7,
2005-10,11.9,
2006-01,4.4,
2006-04,12.0,
2006-07,7.4,
2006-10,20.0,
2007-01,10.1,
2007-04,10.3,
2007-07,18.1,
2007-10,12.2,
2008-01,10.0,
2008-04,16.0,
2008-07,29.8,
2008-10,7.4,
2009-01,3.1,
2009-04,15.8,
2009-07,-18.8,
2009-10,-19.0,
2010-01,-9.6,
2010-04,-11.1,
2010-07,-31.2,
2010-10,-17.1,
2011-01,-1.6,
2011-04,0.7,
2011-07,5.5,
2011-10,8.2,
2012-01,-12.5,
2012-04,-6.9,
2012-07,-4.3,
2012-10,-10.0,
2013-01,-6.5,
2013-04,-6.8,
2013-07,-6.1,
2013-10,-6.3,
2014-01,1.9,
