"",BBK01.OELK04V,BBK01.OELK04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:35,
2002-01,0.147,
2002-04,0.142,
2002-07,0.156,
2002-10,0.164,
2003-01,0.160,
2003-04,0.154,
2003-07,0.161,
2003-10,0.156,
2004-01,0.150,
2004-04,0.137,
2004-07,0.139,
2004-10,0.147,
2005-01,0.134,
2005-04,0.122,
2005-07,0.125,
2005-10,0.124,
2006-01,0.126,
2006-04,0.120,
2006-07,0.123,
2006-10,0.120,
2007-01,0.101,
2007-04,0.094,
2007-07,0.098,
2007-10,0.106,
2008-01,0.102,
2008-04,0.100,
2008-07,0.100,
2008-10,0.124,
2009-01,0.113,
2009-04,0.102,
2009-07,0.096,
2009-10,0.097,
2010-01,0.090,
2010-04,0.088,
2010-07,0.073,
2010-10,0.079,
2011-01,0.082,
2011-04,0.088,
2011-07,0.093,
2011-10,0.099,
2012-01,0.089,
2012-04,0.090,
2012-07,0.085,
2012-10,0.122,
2013-01,0.117,
2013-04,0.118,
2013-07,0.130,
2013-10,0.133,
2014-01,0.132,
2014-04,0.128,
2014-07,0.127,
