"",BBEX3.M.HUF.USD.CA.AC.A01,BBEX3.M.HUF.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Hungary / USD 1 = HUF ... (middle),
unit,HUF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:54,
1994-01,101.93,
1994-02,103.73,
1994-03,102.40,
1994-04,102.23,
1994-05,102.37,
1994-06,102.09,
1994-07,101.87,
1994-08,109.62,
1994-09,107.88,
1994-10,107.49,
1994-11,111.41,
1994-12,110.69,
1995-01,110.64,
1995-02,111.74,
1995-03,119.72,
1995-04,121.10,
1995-05,123.52,
1995-06,125.84,
1995-07,126.22,
1995-08,132.77,
1995-09,132.50,
1995-10,134.61,
1995-11,137.58,
1995-12,139.47,
1996-01,145.31,
1996-02,144.62,
1996-03,146.72,
1996-04,150.89,
1996-05,152.54,
1996-06,153.05,
1996-07,151.97,
1996-08,154.65,
1996-09,158.35,
1996-10,158.66,
1996-11,161.45,
1996-12,164.93,
1997-01,169.70,
1997-02,175.77,
1997-03,176.24,
1997-04,182.17,
1997-05,182.38,
1997-06,186.97,
1997-07,196.31,
1997-08,195.44,
1997-09,195.57,
1997-10,195.02,
1997-11,199.61,
1997-12,203.50,
1998-01,208.20,
1998-02,208.38,
1998-03,213.20,
1998-04,210.87,
1998-05,215.53,
1998-06,219.11,
1998-07,216.20,
1998-08,223.87,
1998-09,218.88,
1998-10,216.50,
1998-11,221.00,
1998-12,219.03,
1999-01,218.65,
1999-02,229.82,
1999-03,237.64,
1999-04,236.15,
1999-05,238.64,
1999-06,241.69,
1999-07,236.90,
1999-08,240.70,
1999-09,241.33,
1999-10,243.90,
1999-11,251.66,
1999-12,252.52,
2000-01,260.55,
2000-02,262.90,
2000-03,269.94,
2000-04,283.73,
2000-05,278.55,
2000-06,271.33,
2000-07,281.67,
2000-08,292.46,
2000-09,299.72,
2000-10,313.57,
2000-11,304.97,
2000-12,284.73,
2001-01,284.84,
2001-02,288.87,
2001-03,302.79,
2001-04,296.30,
2001-05,299.01,
2001-06,287.39,
2001-07,282.83,
2001-08,276.44,
2001-09,281.29,
2001-10,282.22,
2001-11,283.91,
2001-12,279.03,
2002-01,282.21,
2002-02,283.98,
2002-03,279.18,
2002-04,269.81,
2002-05,259.46,
2002-06,246.72,
2002-07,250.18,
2002-08,249.03,
2002-09,247.36,
2002-10,244.67,
2002-11,239.01,
2002-12,225.16,
2003-01,225.49,
2003-02,226.33,
2003-03,227.02,
2003-04,220.74,
2003-05,210.79,
2003-06,232.98,
2003-07,233.33,
2003-08,235.78,
2003-09,218.23,
2003-10,222.70,
2003-11,221.12,
2003-12,207.92,
2004-01,214.20,
2004-02,208.20,
2004-03,203.65,
2004-04,210.88,
2004-05,204.79,
2004-06,208.76,
2004-07,205.63,
2004-08,206.39,
2004-09,200.52,
2004-10,192.99,
2004-11,185.98,
2004-12,180.29,
2005-01,189.15,
2005-02,182.59,
2005-03,190.81,
2005-04,194.86,
2005-05,204.96,
2005-06,204.79,
2005-07,202.55,
2005-08,200.39,
2005-09,207.56,
2005-10,206.57,
2005-11,214.36,
2005-12,213.58,
2006-01,208.55,
2006-02,212.76,
2006-03,219.20,
2006-04,209.86,
2006-05,204.16,
2006-06,221.78,
2006-07,213.26,
2006-08,213.89,
2006-09,215.74,
2006-10,206.42,
2006-11,193.89,
2006-12,191.62,
2007-01,199.52,
2007-02,193.21,
2007-03,186.13,
2007-04,181.03,
2007-05,186.23,
2007-06,182.68,
2007-07,182.85,
2007-08,185.99,
2007-09,176.84,
2007-10,174.01,
2007-11,171.78,
2007-12,172.61,
2008-01,174.84,
2008-02,172.49,
2008-03,163.90,
2008-04,163.13,
2008-05,155.51,
2008-06,149.76,
2008-07,148.07,
2008-08,161.79,
2008-09,169.15,
2008-10,204.85,
2008-11,201.76,
2008-12,187.91,
2009-01,229.70,
2009-02,234.09,
2009-03,233.00,
2009-04,215.55,
2009-05,200.80,
2009-06,193.27,
2009-07,189.08,
2009-08,190.36,
2009-09,184.79,
2009-10,183.71,
2009-11,181.00,
2009-12,188.07,
2010-01,193.98,
2010-02,198.74,
2010-03,198.02,
2010-04,199.97,
2010-05,223.84,
2010-06,234.50,
2010-07,217.95,
2010-08,226.51,
2010-09,203.43,
2010-10,197.95,
2010-11,218.76,
2010-12,208.65,
2011-01,200.31,
2011-02,197.05,
2011-03,186.98,
2011-04,177.79,
2011-05,185.19,
2011-06,183.39,
2011-07,189.27,
2011-08,187.82,
2011-09,215.65,
2011-10,212.23,
2011-11,234.64,
2011-12,240.68,
2012-01,222.55,
2012-02,215.33,
2012-03,221.61,
2012-04,217.74,
2012-05,242.06,
2012-06,229.13,
2012-07,227.35,
2012-08,225.93,
2012-09,219.17,
2012-10,218.13,
2012-11,215.60,
2012-12,220.93,
2013-01,215.60,
2013-02,225.80,
2013-03,237.36,
2013-04,229.75,
2013-05,227.91,
2013-06,226.18,
2013-07,225.79,
2013-08,226.92,
2013-09,221.06,
2013-10,215.06,
2013-11,220.99,
2013-12,215.67,
2014-01,229.80,
2014-02,226.03,
2014-03,223.38,
2014-04,223.11,
2014-05,222.40,
2014-06,227.13,
2014-07,232.95,
2014-08,239.21,
2014-09,245.13,
2014-10,244.50,
2014-11,247.21,
2014-12,259.13,
2015-01,274.91,
"","Source: Central Bank of Hungary, Budapest",
