"",BBK01.OEBI09U,BBK01.OEBI09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:11,
2002-01,0.311,
2002-04,0.299,
2002-07,0.317,
2002-10,0.306,
2003-01,0.277,
2003-04,0.250,
2003-07,0.230,
2003-10,0.221,
2004-01,0.215,
2004-04,0.201,
2004-07,0.188,
2004-10,0.181,
2005-01,0.192,
2005-04,0.179,
2005-07,0.141,
2005-10,0.140,
2006-01,0.135,
2006-04,0.150,
2006-07,0.160,
2006-10,0.180,
2007-01,0.268,
2007-04,0.301,
2007-07,0.337,
2007-10,0.405,
2008-01,0.453,
2008-04,0.482,
2008-07,0.509,
2008-10,0.668,
2009-01,0.641,
2009-04,0.607,
2009-07,0.599,
2009-10,0.515,
2010-01,0.433,
2010-04,0.416,
2010-07,0.390,
2010-10,0.482,
2011-01,0.548,
2011-04,0.569,
2011-07,0.579,
2011-10,0.568,
2012-01,0.546,
2012-04,0.553,
2012-07,0.527,
2012-10,0.459,
2013-01,0.401,
2013-04,0.359,
2013-07,0.335,
2013-10,0.313,
2014-01,0.297,
2014-04,0.278,
2014-07,0.338,
