"",BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:54,
1991-01,0.060,
1991-04,0.239,
1991-07,-0.071,
1991-10,0.126,
1992-01,-0.423,
1992-04,-33.920,
1992-07,-1.350,
1992-10,-2.175,
1993-01,-1.166,
1993-04,-2.516,
1993-07,-2.601,
1993-10,-15.406,
1994-01,2.663,
1994-04,0.055,
1994-07,-0.326,
1994-10,18.877,
1995-01,-0.191,
1995-04,0.442,
1995-07,-1.244,
1995-10,0.990,
1996-01,0.857,
1996-04,2.235,
1996-07,0.402,
1996-10,1.644,
1997-01,13.904,
1997-04,29.964,
1997-07,19.530,
1997-10,5.377,
1998-01,-1.116,
1998-04,21.044,
1998-07,-96.437,
1998-10,28.936,
1999-01,12.105,
1999-04,183.933,
1999-07,30.339,
1999-10,53.388,
2000-01,215.709,
2000-04,204.793,
2000-07,86.927,
2000-10,-75.695,
2001-01,-89.097,
2001-04,19.354,
2001-07,-527.862,
2001-10,0.254,
2002-01,-4.989,
2002-04,-39.611,
2002-07,-8.631,
2002-10,-26.422,
2003-01,-19.387,
2003-04,-32.517,
2003-07,8.355,
2003-10,67.291,
2004-01,-1.156,
2004-04,18.124,
2004-07,-26.793,
2004-10,-15.408,
2005-01,79.479,
2005-04,128.389,
2005-07,43.636,
2005-10,431.294,
2006-01,177.534,
2006-04,165.126,
2006-07,11.133,
2006-10,316.503,
2007-01,375.987,
2007-04,-199.746,
2007-07,-8.049,
2007-10,176.203,
2008-01,148.867,
2008-04,-128.809,
2008-07,55.534,
2008-10,-198.031,
2009-01,-99.015,
2009-04,-16.103,
2009-07,-39.013,
2009-10,29.652,
2010-01,-31.063,
2010-04,-67.088,
2010-07,163.765,
2010-10,178.490,
2011-01,82.580,
2011-04,59.741,
2011-07,46.041,
2011-10,32.963,
2012-01,-64.966,
2012-04,75.868,
2012-07,190.864,
2012-10,653.714,
2013-01,111.855,
2013-04,117.916,
2013-07,152.581,
2013-10,384.453,
2014-01,219.901,Provisional value
2014-04,956.209,Provisional value
2014-07,77.176,Provisional value
2014-10,203.746,Provisional value
