"",BBK01.CEHH02,BBK01.CEHH02_FLAGS
"",Shares debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:11,
1991-01,-0.8,
1991-04,0.4,
1991-07,0.2,
1991-10,6.8,
1992-01,8.3,
1992-04,-2.9,
1992-07,5.1,
1992-10,6.1,
1993-01,7.4,
1993-04,-9.5,
1993-07,7.4,
1993-10,8.7,
1994-01,12.9,
1994-04,0.9,
1994-07,0.4,
1994-10,6.5,
1995-01,6.7,
1995-04,-0.4,
1995-07,0.9,
1995-10,8.8,
1996-01,10.3,
1996-04,-5.2,
1996-07,-1.2,
1996-10,16.6,
1997-01,23.3,
1997-04,-1.9,
1997-07,2.8,
1997-10,20.9,
1998-01,33.7,
1998-04,7.7,
1998-07,1.9,
1998-10,24.1,
1999-01,32.9,
1999-04,-3.7,
1999-07,-2.2,
1999-10,34.2,
2000-01,50.3,
2000-04,-29.8,
2000-07,12.5,
2000-10,41.0,
2001-01,47.2,
2001-04,-24.1,
2001-07,-15.5,
2001-10,17.4,
2002-01,1.1,
2002-04,-6.3,
2002-07,0.0,
2002-10,-6.9,
2003-01,-7.5,
2003-04,6.5,
2003-07,-15.0,
2003-10,9.6,
2004-01,6.6,
2004-04,-19.7,
2004-07,-17.7,
2004-10,21.9,
2005-01,-4.5,
2005-04,-7.5,
2005-07,9.3,
2005-10,7.1,
2006-01,22.2,
2006-04,9.4,
2006-07,20.4,
2006-10,18.0,
2007-01,-35.8,
2007-04,-10.9,
2007-07,-26.5,
2007-10,41.5,
2008-01,-19.0,
2008-04,-11.0,
2008-07,-13.2,
2008-10,-33.5,
2009-01,30.1,
2009-04,-7.6,
2009-07,-8.4,
2009-10,6.2,
2010-01,4.4,
2010-04,15.6,
2010-07,-6.2,
2010-10,13.2,
2011-01,9.7,
2011-04,0.2,
2011-07,-30.6,
2011-10,11.5,
2012-01,-9.2,
2012-04,-10.0,
2012-07,-3.2,
2012-10,19.8,
2013-01,2.2,
2013-04,-2.2,
2013-07,9.3,
2013-10,4.8,
2014-01,11.2,
