"",BBSF2.M.1.T.00000.DSO01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.DSO01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:00,
2009-09,311,
2009-10,294,
2009-11,287,
2009-12,418,
2010-01,365,
2010-02,305,
2010-03,278,
2010-04,308,
2010-05,359,
2010-06,360,
2010-07,409,
2010-08,356,
2010-09,395,
2010-10,301,
2010-11,452,
2010-12,346,
2011-01,432,
2011-02,397,
2011-03,370,
2011-04,317,
2011-05,447,
2011-06,317,
2011-07,460,
2011-08,606,
2011-09,670,
2011-10,648,
2011-11,687,
2011-12,521,
2012-01,365,
2012-02,409,
2012-03,333,
2012-04,304,
2012-05,377,
2012-06,333,
2012-07,327,
2012-08,349,
2012-09,380,
2012-10,328,
2012-11,452,
2012-12,342,
2013-01,472,
2013-02,275,
2013-03,239,
2013-04,247,
2013-05,284,
2013-06,422,
2013-07,311,
2013-08,411,
2013-09,296,
2013-10,282,
2013-11,270,
2013-12,320,
2014-01,451,
2014-02,288,
2014-03,275,
2014-04,241,
2014-05,264,
2014-06,323,
2014-07,303,
2014-08,407,
2014-09,498,
2014-10,440,
2014-11,298,
