"",BBK01.OECB23O,BBK01.OECB23O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:07,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,0.001,
2004-04,0.001,
2004-07,0.006,
2004-10,0.006,
2005-01,0.007,
2005-04,0.007,
2005-07,0.002,
2005-10,0.009,
2006-01,0.008,
2006-04,0.008,
2006-07,0.008,
2006-10,0.008,
2007-01,0.028,
2007-04,0.044,
2007-07,0.049,
2007-10,0.059,
2008-01,0.108,
2008-04,0.098,
2008-07,0.093,
2008-10,0.085,
2009-01,0.150,
2009-04,0.151,
2009-07,0.194,
2009-10,0.188,
2010-01,0.187,
2010-04,0.187,
2010-07,0.187,
2010-10,0.186,
2011-01,0.122,
2011-04,0.112,
2011-07,0.109,
2011-10,0.109,
2012-01,0.084,
2012-04,0.047,
2012-07,0.047,
2012-10,0.037,
2013-01,0.010,
2013-04,0.010,
2013-07,0.010,
2013-10,0.050,
2014-01,0.040,
2014-04,0.015,
2014-07,-,Nothing exists
