"",BBK01.OEXI04G,BBK01.OEXI04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:47,
2002-01,9.108,
2002-04,9.764,
2002-07,9.699,
2002-10,9.318,
2003-01,7.879,
2003-04,9.270,
2003-07,7.711,
2003-10,7.587,
2004-01,6.549,
2004-04,5.849,
2004-07,6.098,
2004-10,6.135,
2005-01,2.899,
2005-04,2.555,
2005-07,1.533,
2005-10,1.622,
2006-01,1.523,
2006-04,1.522,
2006-07,1.455,
2006-10,1.658,
2007-01,1.897,
2007-04,2.188,
2007-07,2.685,
2007-10,3.190,
2008-01,4.049,
2008-04,4.526,
2008-07,4.943,
2008-10,5.621,
2009-01,8.969,
2009-04,9.189,
2009-07,8.609,
2009-10,8.281,
2010-01,6.066,
2010-04,5.461,
2010-07,5.083,
2010-10,5.360,
2011-01,5.266,
2011-04,4.972,
2011-07,5.888,
2011-10,6.271,
2012-01,5.945,
2012-04,6.519,
2012-07,6.485,
2012-10,7.264,
2013-01,7.503,
2013-04,6.817,
2013-07,6.321,
2013-10,5.852,
2014-01,6.472,
2014-04,6.328,
2014-07,6.944,
