"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.BE.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.BE.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Belgium,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:34,
2009-09,617,
2009-10,602,
2009-11,599,
2009-12,626,
2010-01,634,
2010-02,646,
2010-03,680,
2010-04,642,
2010-05,657,
2010-06,662,
2010-07,703,
2010-08,694,
2010-09,742,
2010-10,766,
2010-11,756,
2010-12,785,
2011-01,768,
2011-02,771,
2011-03,779,
2011-04,808,
2011-05,776,
2011-06,739,
2011-07,734,
2011-08,652,
2011-09,614,
2011-10,617,
2011-11,645,
2011-12,663,
2012-01,656,
2012-02,717,
2012-03,737,
2012-04,693,
2012-05,735,
2012-06,816,
2012-07,887,
2012-08,920,
2012-09,949,
2012-10,946,
2012-11,982,
2012-12,984,
2013-01,996,
2013-02,1087,
2013-03,1132,
2013-04,1039,
2013-05,1029,
2013-06,1063,
2013-07,1103,
2013-08,1129,
2013-09,1173,
2013-10,1233,
2013-11,1206,
2013-12,1251,
2014-01,1197,
2014-02,1260,
2014-03,1272,
2014-04,1323,
2014-05,1366,
2014-06,1455,
2014-07,1422,
2014-08,1433,
2014-09,1435,
2014-10,1460,
2014-11,1534,
