"",BBFB1.Q.N.DE.BR.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.BR.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:37,
1991-01,0.810,
1991-04,1.512,
1991-07,-0.168,
1991-10,-0.615,
1992-01,-0.756,
1992-04,-0.554,
1992-07,-1.482,
1992-10,4.249,
1993-01,-7.891,
1993-04,4.525,
1993-07,-0.617,
1993-10,-2.957,
1994-01,0.276,
1994-04,-1.408,
1994-07,4.030,
1994-10,-3.140,
1995-01,-5.645,
1995-04,-0.706,
1995-07,-0.214,
1995-10,1.562,
1996-01,-139.156,
1996-04,3.730,
1996-07,-1.478,
1996-10,140.435,
1997-01,-125.136,
1997-04,33.929,
1997-07,-4.411,
1997-10,202.716,
1998-01,-150.065,
1998-04,32.525,
1998-07,76.145,
1998-10,-102.368,
1999-01,-10.935,
1999-04,1.096,
1999-07,14.072,
1999-10,72.233,
2000-01,106.423,
2000-04,32.587,
2000-07,88.047,
2000-10,-138.005,
2001-01,-32.236,
2001-04,0.745,
2001-07,51.126,
2001-10,123.581,
2002-01,-106.173,
2002-04,4.111,
2002-07,-23.955,
2002-10,-1.554,
2003-01,-60.859,
2003-04,12.391,
2003-07,11.291,
2003-10,-26.596,
2004-01,-4.047,
2004-04,4.332,
2004-07,2.185,
2004-10,5.291,
2005-01,38.349,
2005-04,13.729,
2005-07,-33.120,
2005-10,177.712,
2006-01,-157.153,
2006-04,84.585,
2006-07,17.168,
2006-10,63.978,
2007-01,-44.342,
2007-04,67.916,
2007-07,-15.906,
2007-10,2.795,
2008-01,-67.870,
2008-04,40.834,
2008-07,21.198,
2008-10,153.972,
2009-01,-33.398,
2009-04,-120.605,
2009-07,29.237,
2009-10,41.144,
2010-01,16.957,
2010-04,65.719,
2010-07,2.087,
2010-10,-14.050,
2011-01,-13.983,
2011-04,5.402,
2011-07,24.690,
2011-10,33.069,
2012-01,-0.690,
2012-04,41.780,
2012-07,-38.516,
2012-10,-22.029,
2013-01,-44.822,
2013-04,11.024,
2013-07,-9.455,
2013-10,36.894,
2014-01,-61.931,Provisional value
2014-04,14.858,Provisional value
2014-07,-31.997,Provisional value
2014-10,46.872,Provisional value
