"",BBK01.CEHQ02,BBK01.CEHQ02_FLAGS
"",short-term time deposits debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:05,
1991-01,-22.2,
1991-04,-19.6,
1991-07,-15.4,
1991-10,50.9,
1992-01,-52.0,
1992-04,-28.8,
1992-07,3.3,
1992-10,15.4,
1993-01,-9.2,
1993-04,-0.7,
1993-07,-2.5,
1993-10,55.0,
1994-01,-39.4,
1994-04,-28.5,
1994-07,0.0,
1994-10,36.4,
1995-01,-8.7,
1995-04,2.1,
1995-07,9.9,
1995-10,29.4,
1996-01,8.6,
1996-04,-9.6,
1996-07,0.6,
1996-10,38.6,
1997-01,-8.7,
1997-04,9.8,
1997-07,-2.1,
1997-10,46.2,
1998-01,-22.0,
1998-04,9.2,
1998-07,-8.2,
1998-10,61.1,
1999-01,-114.6,
1999-04,-8.3,
1999-07,29.2,
1999-10,13.1,
2000-01,-24.2,
2000-04,-27.0,
2000-07,18.2,
2000-10,87.4,
2001-01,-19.7,
2001-04,-24.6,
2001-07,30.6,
2001-10,43.3,
2002-01,-44.3,
2002-04,28.6,
2002-07,44.0,
2002-10,86.0,
2003-01,10.3,
2003-04,63.0,
2003-07,-44.5,
2003-10,61.5,
2004-01,-32.4,
2004-04,83.9,
2004-07,-9.4,
2004-10,127.9,
2005-01,-31.0,
2005-04,19.1,
2005-07,38.2,
2005-10,9.3,
2006-01,50.2,
2006-04,45.6,
2006-07,-6.1,
2006-10,40.8,
2007-01,28.1,
2007-04,10.0,
2007-07,49.8,
2007-10,149.6,
2008-01,-74.1,
2008-04,-9.2,
2008-07,101.7,
2008-10,20.0,
2009-01,-176.3,
2009-04,0.4,
2009-07,-145.8,
2009-10,37.5,
2010-01,-81.0,
2010-04,56.4,
2010-07,-154.1,
2010-10,-41.8,
2011-01,-75.9,
2011-04,4.1,
2011-07,53.2,
2011-10,3.0,
2012-01,-48.3,
2012-04,-12.6,
2012-07,-31.4,
2012-10,-73.5,
2013-01,35.6,
2013-04,20.8,
2013-07,-76.6,
2013-10,41.7,
2014-01,34.9,
