"",BBK01.OEAL09T,BBK01.OEAL09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:50,
2002-01,2.509,
2002-04,2.462,
2002-07,2.453,
2002-10,2.454,
2003-01,2.315,
2003-04,2.155,
2003-07,2.035,
2003-10,2.167,
2004-01,2.099,
2004-04,2.052,
2004-07,2.056,
2004-10,2.107,
2005-01,2.114,
2005-04,2.054,
2005-07,1.949,
2005-10,1.983,
2006-01,1.980,
2006-04,1.972,
2006-07,1.979,
2006-10,2.120,
2007-01,2.232,
2007-04,2.246,
2007-07,2.306,
2007-10,2.462,
2008-01,2.499,
2008-04,2.432,
2008-07,2.435,
2008-10,2.802,
2009-01,2.609,
2009-04,2.502,
2009-07,2.323,
2009-10,2.293,
2010-01,2.093,
2010-04,1.953,
2010-07,1.869,
2010-10,1.878,
2011-01,1.870,
2011-04,1.845,
2011-07,1.887,
2011-10,1.913,
2012-01,1.875,
2012-04,1.812,
2012-07,1.741,
2012-10,1.692,
2013-01,1.596,
2013-04,1.506,
2013-07,1.458,
2013-10,1.409,
2014-01,1.382,
2014-04,1.349,
2014-07,1.364,
