"",BBK01.TSD313,BBK01.TSD313_FLAGS
"",Credit to general government / Euro area / All maturities / German contribution / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:13,
1999-01,704.8,
1999-02,709.6,
1999-03,710.4,
1999-04,714.4,
1999-05,728.8,
1999-06,723.6,
1999-07,722.9,
1999-08,725.1,
1999-09,740.1,
1999-10,748.6,
1999-11,748.7,
1999-12,745.4,
2000-01,751.5,
2000-02,751.8,
2000-03,746.0,
2000-04,746.8,
2000-05,743.0,
2000-06,740.7,
2000-07,734.7,
2000-08,732.7,
2000-09,726.8,
2000-10,726.7,
2000-11,724.0,
2000-12,730.4,
2001-01,729.4,
2001-02,727.1,
2001-03,728.4,
2001-04,721.3,
2001-05,723.0,
2001-06,725.4,
2001-07,730.9,
2001-08,728.0,
2001-09,720.9,
2001-10,708.6,
2001-11,713.1,
2001-12,719.0,
2002-01,713.2,
2002-02,715.7,
2002-03,715.1,
2002-04,715.8,
2002-05,716.5,
2002-06,717.1,
2002-07,725.2,
2002-08,720.2,
2002-09,729.3,
2002-10,721.3,
2002-11,722.9,
2002-12,725.0,
2003-01,726.4,
2003-02,725.1,
2003-03,724.7,
2003-04,718.4,
2003-05,711.9,
2003-06,707.1,
2003-07,710.6,
2003-08,698.7,
2003-09,710.4,
2003-10,710.1,
2003-11,717.7,
2003-12,717.3,
2004-01,709.6,
2004-02,727.3,
2004-03,744.0,
2004-04,733.7,
2004-05,730.0,
2004-06,745.2,
2004-07,750.1,
2004-08,755.0,
2004-09,756.6,
2004-10,762.1,
2004-11,755.2,
2004-12,753.4,
2005-01,753.9,
2005-02,755.2,
2005-03,763.6,
2005-04,770.9,
2005-05,761.3,
2005-06,754.7,
2005-07,750.2,
2005-08,754.2,
2005-09,748.5,
2005-10,741.3,
2005-11,742.7,
2005-12,748.3,
2006-01,742.4,
2006-02,734.2,
2006-03,735.0,
2006-04,729.6,
2006-05,732.8,
2006-06,728.1,
2006-07,722.5,
2006-08,718.6,
2006-09,715.0,
2006-10,713.9,
2006-11,720.0,
2006-12,711.2,
2007-01,709.6,
2007-02,705.6,
2007-03,700.7,
2007-04,695.2,
2007-05,695.3,
2007-06,689.9,
2007-07,685.2,
2007-08,670.6,
2007-09,665.4,
2007-10,653.0,
2007-11,646.0,
2007-12,648.4,
2008-01,637.8,
2008-02,646.3,
2008-03,646.5,
2008-04,651.7,
2008-05,644.7,
2008-06,639.1,
2008-07,630.9,
2008-08,629.5,
2008-09,615.9,
2008-10,614.2,
2008-11,609.4,
2008-12,613.8,
2009-01,613.6,
2009-02,614.2,
2009-03,609.8,
2009-04,612.7,
2009-05,612.8,
2009-06,618.5,
2009-07,628.7,
2009-08,622.7,
2009-09,628.8,
2009-10,641.7,
2009-11,631.9,
2009-12,633.5,
2010-01,636.4,
2010-02,641.8,
2010-03,646.8,
2010-04,646.8,
2010-05,665.4,
2010-06,695.6,
2010-07,688.4,
2010-08,693.0,
2010-09,702.3,
2010-10,806.8,
2010-11,813.5,
2010-12,790.9,
2011-01,792.4,
2011-02,781.3,
2011-03,769.9,
2011-04,755.8,
2011-05,747.6,
2011-06,742.5,
2011-07,738.0,
2011-08,742.8,
2011-09,746.1,
2011-10,739.8,
2011-11,736.3,
2011-12,740.1,
2012-01,742.1,
2012-02,745.2,
2012-03,751.3,
2012-04,751.5,
2012-05,743.6,
2012-06,786.8,
2012-07,775.4,
2012-08,775.5,
2012-09,783.3,
2012-10,786.4,
2012-11,786.5,
2012-12,780.2,
2013-01,773.8,
2013-02,767.4,
2013-03,768.8,
2013-04,776.0,
2013-05,766.8,
2013-06,766.8,
2013-07,769.5,
2013-08,768.9,
2013-09,763.0,
2013-10,764.9,
2013-11,762.6,
2013-12,765.1,
2014-01,764.9,
2014-02,768.0,
2014-03,767.2,
2014-04,764.3,
2014-05,769.8,
2014-06,765.5,
2014-07,765.3,
2014-08,761.8,
2014-09,766.0,
2014-10,765.6,
2014-11,765.4,
2014-12,769.8,Provisional value
2015-01,778.8,
