"",BBFB1.Q.N.DE.SE.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:36,
1991-01,10.977,
1991-04,19.572,
1991-07,7.009,
1991-10,2.218,
1992-01,8.903,
1992-04,11.269,
1992-07,16.703,
1992-10,7.591,
1993-01,8.404,
1993-04,8.940,
1993-07,8.635,
1993-10,9.419,
1994-01,10.839,
1994-04,19.913,
1994-07,14.639,
1994-10,1.252,
1995-01,8.158,
1995-04,18.959,
1995-07,7.443,
1995-10,9.350,
1996-01,8.679,
1996-04,16.911,
1996-07,9.262,
1996-10,18.708,
1997-01,7.845,
1997-04,19.845,
1997-07,9.571,
1997-10,6.784,
1998-01,7.486,
1998-04,18.928,
1998-07,4.859,
1998-10,10.463,
1999-01,13.493,
1999-04,27.015,
1999-07,11.070,
1999-10,10.207,
2000-01,4.278,
2000-04,13.853,
2000-07,13.746,
2000-10,12.896,
2001-01,9.444,
2001-04,10.251,
2001-07,11.425,
2001-10,12.031,
2002-01,7.933,
2002-04,13.726,
2002-07,-11.891,
2002-10,2.741,
2003-01,9.844,
2003-04,14.758,
2003-07,6.797,
2003-10,4.249,
2004-01,8.488,
2004-04,20.094,
2004-07,6.742,
2004-10,9.162,
2005-01,15.556,
2005-04,21.824,
2005-07,10.637,
2005-10,6.598,
2006-01,25.491,
2006-04,72.944,
2006-07,9.832,
2006-10,8.013,
2007-01,19.278,
2007-04,150.203,
2007-07,8.702,
2007-10,20.031,
2008-01,20.158,
2008-04,161.671,
2008-07,16.763,
2008-10,6.462,
2009-01,55.749,
2009-04,91.013,
2009-07,11.156,
2009-10,8.685,
2010-01,18.461,
2010-04,57.839,
2010-07,15.346,
2010-10,10.579,
2011-01,30.540,
2011-04,64.500,
2011-07,2.224,
2011-10,4.123,
2012-01,25.372,
2012-04,70.719,
2012-07,14.950,
2012-10,12.010,
2013-01,9.121,
2013-04,99.813,
2013-07,7.531,
2013-10,10.228,
2014-01,46.242,Provisional value
2014-04,98.176,Provisional value
2014-07,15.174,Provisional value
