"",BBK01.QUY895,BBK01.QUY895_FLAGS
"",Consolidated German banks: Foreign securities issued by foreign general government / India / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:38:04,
2002-03,0.352,
2002-04,0.280,
2002-05,0.277,
2002-06,0.275,
2002-07,0.335,
2002-08,0.356,
2002-09,0.328,
2002-10,0.313,
2002-11,0.269,
2002-12,0.329,
2003-01,0.251,
2003-02,0.272,
2003-03,0.421,
2003-04,0.333,
2003-05,0.430,
2003-06,0.398,
2003-07,0.446,
2003-08,0.411,
2003-09,0.451,
2003-10,0.261,
2003-11,0.239,
2003-12,0.294,
2004-01,0.220,
2004-02,0.217,
2004-03,0.337,
2004-04,0.172,
2004-05,0.142,
2004-06,0.214,
2004-07,0.198,
2004-08,0.201,
2004-09,0.216,
2004-10,0.211,
2004-11,0.247,
2004-12,0.261,
2005-01,0.197,
2005-02,0.297,
2005-03,0.325,
2005-04,0.269,
2005-05,0.316,
2005-06,0.336,
2005-07,0.455,
2005-08,0.363,
2005-09,0.485,
2005-10,0.563,
2005-11,0.536,
2005-12,0.696,
2006-01,0.438,
2006-02,0.609,
2006-03,0.521,
2006-04,0.454,
2006-05,0.380,
2006-06,0.437,
2006-07,0.369,
2006-08,0.621,
2006-09,0.465,
2006-10,0.473,
2006-11,0.507,
2006-12,0.360,
2007-01,0.195,
2007-02,0.104,
2007-03,0.459,
2007-04,0.343,
2007-05,0.231,
2007-06,0.521,
2007-07,0.365,
2007-08,0.215,
2007-09,0.447,
2007-10,0.238,
2007-11,0.169,
2007-12,0.353,
2008-01,0.230,
2008-02,0.146,
2008-03,0.091,
2008-04,0.066,
2008-05,0.079,
2008-06,0.059,
2008-07,0.073,
2008-08,0.048,
2008-09,0.027,
2008-10,0.007,
2008-11,0.007,
2008-12,0.002,
2009-01,0.000,
2009-02,0.000,
2009-03,0.000,
2009-04,0.000,
2009-05,0.000,
2009-06,0.079,
2009-07,0.077,
2009-08,0.072,
2009-09,0.204,
2009-10,0.235,
2009-11,0.205,
2009-12,0.199,
2010-01,0.235,
2010-02,0.111,
2010-03,0.009,
2010-04,0.544,
2010-05,0.366,
2010-06,0.372,
2010-07,0.349,
2010-08,0.065,
2010-09,0.046,
2010-10,0.044,
2010-11,0.024,
2010-12,0.038,
2011-01,0.007,
2011-02,0.002,
2011-03,0.009,
2011-04,0.207,
2011-05,0.144,
2011-06,0.652,
2011-07,0.568,
2011-08,0.818,
2011-09,0.642,
2011-10,0.605,
2011-11,0.693,
2011-12,0.645,
2012-01,0.560,
2012-02,0.532,
2012-03,1.332,
2012-04,1.622,
2012-05,1.573,
2012-06,1.549,
2012-07,1.621,
2012-08,1.574,
2012-09,1.731,
2012-10,1.700,
2012-11,1.323,
2012-12,1.493,
2013-01,1.120,
2013-02,1.583,
2013-03,1.081,
2013-04,1.229,
2013-05,1.006,
2013-06,2.157,
2013-07,0.398,
2013-08,0.737,
2013-09,1.088,
2013-10,1.155,
2013-11,0.908,
2013-12,0.902,
2014-01,1.013,
2014-02,0.899,
2014-03,0.887,
2014-04,0.841,
2014-05,0.828,
2014-06,0.994,
2014-07,1.041,
2014-08,0.689,
2014-09,0.607,
2014-10,0.925,
