"",BBK01.OEHB05P,BBK01.OEHB05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:33,
2002-01,8.522,
2002-04,8.602,
2002-07,8.576,
2002-10,8.581,
2003-01,8.649,
2003-04,8.785,
2003-07,8.679,
2003-10,8.671,
2004-01,8.692,
2004-04,8.677,
2004-07,8.687,
2004-10,8.729,
2005-01,8.735,
2005-04,8.811,
2005-07,8.953,
2005-10,8.940,
2006-01,8.990,
2006-04,9.101,
2006-07,8.949,
2006-10,9.150,
2007-01,9.039,
2007-04,9.046,
2007-07,9.173,
2007-10,9.140,
2008-01,9.188,
2008-04,9.325,
2008-07,9.322,
2008-10,9.380,
2009-01,9.480,
2009-04,9.525,
2009-07,9.541,
2009-10,9.841,
2010-01,9.900,
2010-04,10.128,
2010-07,10.130,
2010-10,10.296,
2011-01,10.420,
2011-04,10.562,
2011-07,10.716,
2011-10,10.733,
2012-01,10.922,
2012-04,10.934,
2012-07,11.030,
2012-10,11.079,
2013-01,11.222,
2013-04,11.326,
2013-07,11.467,
2013-10,11.419,
2014-01,11.430,
2014-04,11.479,
2014-07,11.579,
