"",BBK01.OEXL03R,BBK01.OEXL03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:03,
2002-01,0.075,
2002-04,0.067,
2002-07,0.066,
2002-10,0.074,
2003-01,0.063,
2003-04,0.060,
2003-07,0.070,
2003-10,0.053,
2004-01,0.050,
2004-04,0.047,
2004-07,0.044,
2004-10,0.029,
2005-01,0.025,
2005-04,0.028,
2005-07,0.027,
2005-10,0.029,
2006-01,0.033,
2006-04,0.038,
2006-07,0.040,
2006-10,0.047,
2007-01,0.052,
2007-04,0.054,
2007-07,0.053,
2007-10,0.060,
2008-01,0.072,
2008-04,0.076,
2008-07,0.077,
2008-10,0.069,
2009-01,0.058,
2009-04,0.048,
2009-07,0.040,
2009-10,0.035,
2010-01,0.051,
2010-04,0.058,
2010-07,0.045,
2010-10,0.041,
2011-01,0.041,
2011-04,0.041,
2011-07,0.042,
2011-10,0.061,
2012-01,0.066,
2012-04,0.063,
2012-07,0.063,
2012-10,0.071,
2013-01,0.071,
2013-04,0.072,
2013-07,0.068,
2013-10,0.065,
2014-01,0.065,
2014-04,0.065,
2014-07,0.062,
