"",BBK01.OEAF33L,BBK01.OEAF33L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:22,
2002-01,59.578,
2002-04,61.358,
2002-07,62.661,
2002-10,64.037,
2003-01,64.511,
2003-04,67.548,
2003-07,72.113,
2003-10,75.349,
2004-01,75.320,
2004-04,71.792,
2004-07,77.912,
2004-10,79.077,
2005-01,80.795,
2005-04,82.196,
2005-07,84.665,
2005-10,87.259,
2006-01,88.539,
2006-04,85.728,
2006-07,90.424,
2006-10,91.689,
2007-01,89.376,
2007-04,90.975,
2007-07,98.273,
2007-10,102.738,
2008-01,103.076,
2008-04,101.816,
2008-07,106.444,
2008-10,106.835,
2009-01,106.083,
2009-04,108.380,
2009-07,109.435,
2009-10,108.351,
2010-01,107.516,
2010-04,108.143,
2010-07,111.626,
2010-10,112.353,
2011-01,111.981,
2011-04,112.828,
2011-07,113.746,
2011-10,114.723,
2012-01,114.959,
2012-04,115.729,
2012-07,116.640,
2012-10,117.367,
2013-01,117.401,
2013-04,117.648,
2013-07,118.528,
2013-10,119.195,
2014-01,119.373,
2014-04,120.186,
2014-07,121.244,
