"",BBSF2.M.1.T.00000.HED01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Hedgefunds / Loans received,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:15,
2009-09,0,
2009-10,1,
2009-11,0,
2009-12,0,
2010-01,4,
2010-02,0,
2010-03,1,
2010-04,0,
2010-05,2,
2010-06,1,
2010-07,1,
2010-08,2,
2010-09,1,
2010-10,3,
2010-11,9,
2010-12,16,
2011-01,12,
2011-02,14,
2011-03,21,
2011-04,24,
2011-05,21,
2011-06,26,
2011-07,20,
2011-08,11,
2011-09,6,
2011-10,4,
2011-11,4,
2011-12,6,
2012-01,9,
2012-02,1,
2012-03,241,
2012-04,1935,
2012-05,816,
2012-06,532,
2012-07,17,
2012-08,16,
2012-09,17,
2012-10,91,
2012-11,17,
2012-12,17,
2013-01,16,
2013-02,16,
2013-03,17,
2013-04,1761,
2013-05,23,
2013-06,19,
2013-07,13,
2013-08,14,
2013-09,14,
2013-10,24,
2013-11,24,
2013-12,22,
2014-01,25,
2014-02,22,
2014-03,18,
2014-04,2363,
2014-05,23,
2014-06,23,
2014-07,24,
2014-08,26,
2014-09,26,
2014-10,19,
2014-11,19,
