"",BBK01.OEAC53N,BBK01.OEAC53N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:20,
2002-01,1.818,
2002-04,1.948,
2002-07,2.102,
2002-10,2.285,
2003-01,2.307,
2003-04,2.259,
2003-07,2.453,
2003-10,2.031,
2004-01,2.383,
2004-04,2.376,
2004-07,2.462,
2004-10,2.852,
2005-01,3.054,
2005-04,2.950,
2005-07,3.273,
2005-10,3.321,
2006-01,3.504,
2006-04,3.482,
2006-07,3.341,
2006-10,3.728,
2007-01,3.926,
2007-04,4.001,
2007-07,3.966,
2007-10,3.939,
2008-01,4.056,
2008-04,5.005,
2008-07,4.873,
2008-10,4.991,
2009-01,5.148,
2009-04,5.294,
2009-07,5.354,
2009-10,5.259,
2010-01,4.636,
2010-04,4.619,
2010-07,5.509,
2010-10,5.502,
2011-01,5.576,
2011-04,5.855,
2011-07,5.919,
2011-10,5.953,
2012-01,6.089,
2012-04,5.969,
2012-07,6.268,
2012-10,6.131,
2013-01,6.312,
2013-04,6.223,
2013-07,6.007,
2013-10,6.331,
2014-01,6.385,
2014-04,6.346,
2014-07,7.463,
