"",BBK01.OEAA16K,BBK01.OEAA16K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:59,
2002-01,0.617,
2002-04,0.609,
2002-07,0.605,
2002-10,0.610,
2003-01,0.592,
2003-04,0.667,
2003-07,0.670,
2003-10,0.729,
2004-01,1.461,
2004-04,1.500,
2004-07,1.463,
2004-10,1.454,
2005-01,1.604,
2005-04,1.660,
2005-07,1.657,
2005-10,1.683,
2006-01,1.593,
2006-04,1.674,
2006-07,1.647,
2006-10,1.662,
2007-01,1.546,
2007-04,1.521,
2007-07,1.511,
2007-10,1.480,
2008-01,1.409,
2008-04,1.403,
2008-07,1.388,
2008-10,1.176,
2009-01,1.163,
2009-04,1.141,
2009-07,1.146,
2009-10,1.201,
2010-01,1.230,
2010-04,1.254,
2010-07,1.293,
2010-10,1.303,
2011-01,1.432,
2011-04,1.596,
2011-07,1.723,
2011-10,1.892,
2012-01,1.899,
2012-04,2.557,
2012-07,2.636,
2012-10,3.010,
2013-01,3.160,
2013-04,3.285,
2013-07,3.310,
2013-10,3.568,
2014-01,3.589,
2014-04,3.913,
2014-07,4.042,
