"",BBK01.OEAH76L,BBK01.OEAH76L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:30,
2002-01,0.152,
2002-04,0.153,
2002-07,0.157,
2002-10,0.178,
2003-01,0.159,
2003-04,0.166,
2003-07,0.208,
2003-10,0.208,
2004-01,0.583,
2004-04,0.564,
2004-07,0.560,
2004-10,0.494,
2005-01,0.099,
2005-04,0.121,
2005-07,0.132,
2005-10,0.120,
2006-01,0.138,
2006-04,0.132,
2006-07,0.114,
2006-10,0.222,
2007-01,0.365,
2007-04,0.461,
2007-07,0.494,
2007-10,0.525,
2008-01,0.523,
2008-04,0.577,
2008-07,0.681,
2008-10,0.682,
2009-01,0.713,
2009-04,0.914,
2009-07,1.029,
2009-10,0.860,
2010-01,0.871,
2010-04,0.559,
2010-07,0.337,
2010-10,0.302,
2011-01,0.342,
2011-04,0.432,
2011-07,0.480,
2011-10,0.613,
2012-01,0.685,
2012-04,0.719,
2012-07,0.617,
2012-10,0.671,
2013-01,0.553,
2013-04,0.559,
2013-07,0.646,
2013-10,0.787,
2014-01,0.965,
2014-04,1.129,
2014-07,1.216,
