"",BBK01.OUG196,BBK01.OUG196_FLAGS
"",Time deposits of domestic government / for up and including 1 year / Landesbanken,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:22:24,
1968-12,0.827,
1969-01,1.060,
1969-02,1.117,
1969-03,1.099,
1969-04,1.022,
1969-05,1.085,
1969-06,1.114,
1969-07,1.069,
1969-08,1.174,
1969-09,1.258,
1969-10,1.197,
1969-11,1.165,
1969-12,1.185,
1970-01,1.308,
1970-02,1.334,
1970-03,1.088,
1970-04,1.071,
1970-05,1.203,
1970-06,1.153,
1970-07,1.194,
1970-08,1.354,
1970-09,1.324,
1970-10,1.257,
1970-11,1.221,
1970-12,1.228,
1971-01,1.386,
1971-02,1.492,
1971-03,1.518,
1971-04,1.479,
1971-05,1.616,
1971-06,1.528,
1971-07,1.515,
1971-08,1.464,
1971-09,1.484,
1971-10,1.456,
1971-11,1.418,
1971-12,1.437,
1972-01,1.650,
1972-02,1.833,
1972-03,1.615,
1972-04,1.526,
1972-05,1.617,
1972-06,1.695,
1972-07,2.010,
1972-08,2.264,
1972-09,2.345,
1972-10,2.404,
1972-11,2.144,
1972-12,1.945,
1973-01,2.222,
1973-02,2.504,
1973-03,2.498,
1973-04,2.272,
1973-05,2.436,
1973-06,2.142,
1973-07,2.199,
1973-08,2.207,
1973-09,2.132,
1973-10,2.016,
1973-11,2.040,
1973-12,2.001,
1974-01,2.160,
1974-02,2.271,
1974-03,2.176,
1974-04,2.110,
1974-05,2.341,
1974-06,2.362,
1974-07,2.511,
1974-08,2.633,
1974-09,2.593,
1974-10,2.598,
1974-11,2.311,
1974-12,2.459,
1975-01,2.600,
1975-02,2.771,
1975-03,2.611,
1975-04,2.324,
1975-05,2.440,
1975-06,2.332,
1975-07,2.272,
1975-08,2.348,
1975-09,2.376,
1975-10,2.083,
1975-11,1.885,
1975-12,1.959,
1976-01,2.239,
1976-02,2.257,
1976-03,2.449,
1976-04,2.082,
1976-05,2.050,
1976-06,2.497,
1976-07,2.452,
1976-08,2.635,
1976-09,2.516,
1976-10,2.324,
1976-11,2.221,
1976-12,2.274,
1977-01,2.439,
1977-02,2.341,
1977-03,2.394,
1977-04,2.337,
1977-05,2.619,
1977-06,2.576,
1977-07,2.947,
1977-08,2.629,
1977-09,2.790,
1977-10,2.545,
1977-11,2.387,
1977-12,2.279,
1978-01,2.301,
1978-02,2.149,
1978-03,2.304,
1978-04,2.016,
1978-05,2.202,
1978-06,2.272,
1978-07,2.393,
1978-08,2.431,
1978-09,2.386,
1978-10,2.504,
1978-11,2.466,
1978-12,2.611,
1979-01,2.534,
1979-02,2.403,
1979-03,2.175,
1979-04,2.083,
1979-05,2.193,
1979-06,2.007,
1979-07,2.140,
1979-08,2.185,
1979-09,2.157,
1979-10,2.119,
1979-11,1.912,
1979-12,1.875,
1980-01,2.104,
1980-02,2.183,
1980-03,2.359,
1980-04,2.118,
1980-05,2.259,
1980-06,2.176,
1980-07,2.332,
1980-08,2.436,
1980-09,2.385,
1980-10,2.274,
1980-11,1.964,
1980-12,2.154,
1981-01,2.388,
1981-02,2.434,
1981-03,2.111,
1981-04,2.080,
1981-05,2.259,
1981-06,2.053,
1981-07,2.178,
1981-08,2.286,
1981-09,2.511,
1981-10,2.543,
