"",BBSF2.M.1.S.I0011.REN01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0011.REN01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts / Non-financial corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:13,
2009-09,39,
2009-10,2014,
2009-11,447,
2009-12,1274,
2010-01,47,
2010-02,396,
2010-03,1414,
2010-04,294,
2010-05,391,
2010-06,134,
2010-07,1051,
2010-08,387,
2010-09,203,
2010-10,737,
2010-11,1047,
2010-12,363,
2011-01,1235,
2011-02,1591,
2011-03,376,
2011-04,494,
2011-05,406,
2011-06,884,
2011-07,245,
2011-08,690,
2011-09,1236,
2011-10,784,
2011-11,1448,
2011-12,1912,
2012-01,855,
2012-02,132,
2012-03,665,
2012-04,232,
2012-05,69,
2012-06,1448,
2012-07,1802,
2012-08,1068,
2012-09,837,
2012-10,924,
2012-11,2848,
2012-12,1325,
2013-01,382,
2013-02,849,
2013-03,574,
2013-04,351,
2013-05,492,
2013-06,695,
2013-07,579,
2013-08,352,
2013-09,708,
2013-10,162,
2013-11,984,
2013-12,588,
2014-01,462,
2014-02,583,
2014-03,907,
2014-04,169,
2014-05,981,
2014-06,687,
2014-07,54,
2014-08,353,
2014-09,429,
2014-10,427,
2014-11,313,
