"",BBFB1.Q.N.DE.CN.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:05,
1991-01,-1009.791,
1991-04,-760.784,
1991-07,-981.059,
1991-10,-804.825,
1992-01,-895.743,
1992-04,-555.329,
1992-07,-718.769,
1992-10,-405.103,
1993-01,-255.204,
1993-04,-67.557,
1993-07,-477.968,
1993-10,-617.389,
1994-01,-721.799,
1994-04,-237.268,
1994-07,-640.869,
1994-10,-673.610,
1995-01,-700.818,
1995-04,-588.873,
1995-07,-774.919,
1995-10,-416.530,
1996-01,-1163.426,
1996-04,-738.454,
1996-07,-1105.420,
1996-10,-373.751,
1997-01,-1542.924,
1997-04,-1229.559,
1997-07,-1466.964,
1997-10,-1102.598,
1998-01,-1634.474,
1998-04,-1068.312,
1998-07,-1512.288,
1998-10,-1303.708,
1999-01,-1470.724,
1999-04,-1175.015,
1999-07,-1772.136,
1999-10,-2287.229,
2000-01,-2308.685,
2000-04,-1724.237,
2000-07,-2220.256,
2000-10,-2371.604,
2001-01,-2110.923,
2001-04,-1244.858,
2001-07,-1752.080,
2001-10,-2126.890,
2002-01,-1479.192,
2002-04,-1177.252,
2002-07,-1075.628,
2002-10,-2175.000,
2003-01,-1738.045,
2003-04,-976.998,
2003-07,-639.776,
2003-10,-2541.589,
2004-01,-1466.005,
2004-04,-1333.444,
2004-07,-3073.481,
2004-10,-4496.818,
2005-01,-4077.661,
2005-04,-4421.771,
2005-07,-4297.678,
2005-10,-6290.801,
2006-01,-6170.728,
2006-04,-4797.911,
2006-07,-4704.207,
2006-10,-6460.860,
2007-01,-6753.233,
2007-04,-3833.280,
2007-07,-6058.880,
2007-10,-6893.334,
2008-01,-5238.051,
2008-04,-3726.237,
2008-07,-7283.977,
2008-10,-7618.798,
2009-01,-5415.030,
2009-04,-2217.535,
2009-07,-3351.655,
2009-10,-3038.667,
2010-01,-2817.402,
2010-04,-3052.539,
2010-07,-5268.639,
2010-10,-3305.594,
2011-01,-1049.934,
2011-04,-310.423,
2011-07,-997.093,
2011-10,-727.474,
2012-01,496.561,
2012-04,2480.838,
2012-07,-332.944,
2012-10,-550.965,
2013-01,569.295,
2013-04,3518.308,
2013-07,1362.526,
2013-10,3353.240,
2014-01,2278.982,Provisional value
2014-04,5145.434,Provisional value
2014-07,2860.277,Provisional value
