"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.ES.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.ES.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Spain,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:45,
2009-09,3707,
2009-10,3708,
2009-11,3688,
2009-12,3745,
2010-01,3744,
2010-02,3721,
2010-03,3700,
2010-04,3627,
2010-05,3730,
2010-06,3719,
2010-07,3709,
2010-08,3775,
2010-09,3739,
2010-10,3736,
2010-11,3819,
2010-12,3858,
2011-01,3871,
2011-02,3834,
2011-03,3826,
2011-04,3824,
2011-05,3823,
2011-06,3823,
2011-07,3813,
2011-08,3784,
2011-09,3745,
2011-10,3744,
2011-11,3777,
2011-12,3777,
2012-01,3767,
2012-02,3743,
2012-03,3740,
2012-04,3738,
2012-05,3699,
2012-06,3693,
2012-07,3676,
2012-08,3668,
2012-09,3643,
2012-10,3620,
2012-11,3609,
2012-12,3533,
2013-01,3504,
2013-02,3482,
2013-03,3502,
2013-04,3488,
2013-05,3497,
2013-06,3364,
2013-07,3346,
2013-08,3301,
2013-09,3265,
2013-10,3280,
2013-11,3256,
2013-12,3168,
2014-01,3157,
2014-02,3146,
2014-03,3113,
2014-04,3094,
2014-05,3085,
2014-06,3029,
2014-07,2923,
2014-08,2834,
2014-09,2805,
2014-10,2764,
2014-11,2757,
