"",BBK01.OEAD40S,BBK01.OEAD40S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:05,
2002-01,0.166,
2002-04,0.166,
2002-07,0.164,
2002-10,0.162,
2003-01,0.176,
2003-04,0.170,
2003-07,0.163,
2003-10,0.163,
2004-01,0.158,
2004-04,0.156,
2004-07,0.151,
2004-10,0.148,
2005-01,0.143,
2005-04,0.141,
2005-07,0.134,
2005-10,0.128,
2006-01,0.136,
2006-04,0.132,
2006-07,0.131,
2006-10,0.121,
2007-01,0.139,
2007-04,0.133,
2007-07,0.126,
2007-10,0.122,
2008-01,0.120,
2008-04,0.120,
2008-07,0.115,
2008-10,0.113,
2009-01,0.110,
2009-04,0.109,
2009-07,0.109,
2009-10,0.088,
2010-01,0.107,
2010-04,0.095,
2010-07,0.095,
2010-10,0.096,
2011-01,0.092,
2011-04,0.089,
2011-07,0.089,
2011-10,0.082,
2012-01,0.081,
2012-04,0.079,
2012-07,0.074,
2012-10,0.067,
2013-01,0.069,
2013-04,0.068,
2013-07,0.066,
2013-10,0.070,
2014-01,0.080,
2014-04,0.081,
2014-07,0.074,
