"",BBSF2.M.1.S.00000.AKT01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.AKT01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net asset value,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:59,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,6411,
1993-05,6964,
1993-06,7104,
1993-07,7407,
1993-08,7775,
1993-09,7788,
1993-10,8505,
1993-11,8594,
1993-12,9143,
1994-01,9382,
1994-02,9065,
1994-03,9170,
1994-04,9876,
1994-05,9567,
1994-06,9266,
1994-07,9711,
1994-08,9928,
1994-09,9545,
1994-10,9684,
1994-11,9615,
1994-12,9754,
1995-01,9552,
1995-02,9777,
1995-03,9358,
1995-04,9765,
1995-05,10099,
1995-06,10087,
1995-07,10473,
1995-08,10643,
1995-09,10434,
1995-10,10275,
1995-11,10537,
1995-12,10810,
1996-01,11865,
1996-02,11894,
1996-03,12059,
1996-04,12401,
1996-05,12727,
1996-06,12897,
1996-07,12723,
1996-08,13010,
1996-09,13521,
1996-10,13782,
1996-11,14663,
1996-12,15821,
1997-01,17218,
1997-02,18657,
1997-03,19449,
1997-04,19714,
1997-05,20760,
1997-06,22550,
1997-07,25440,
1997-08,23720,
1997-09,26179,
1997-10,26886,
1997-11,27906,
1997-12,29078,
1998-01,30568,
1998-02,32010,
1998-03,35004,
1998-04,34988,
1998-05,37002,
1998-06,38368,
1998-07,39268,
1998-08,35322,
1998-09,33398,
1998-10,34579,
1998-11,38721,
1998-12,38859,
1999-01,40912,
1999-02,40666,
1999-03,41265,
1999-04,44675,
1999-05,43423,
1999-06,45168,
1999-07,43908,
1999-08,45438,
1999-09,43861,
1999-10,46505,
1999-11,50272,
1999-12,53871,
2000-01,53225,
2000-02,57773,
2000-03,58650,
2000-04,60270,
2000-05,60346,
2000-06,60103,
2000-07,61359,
2000-08,63093,
2000-09,60913,
2000-10,61017,
2000-11,58329,
2000-12,59330,
2001-01,60063,
2001-02,54343,
2001-03,52252,
2001-04,55822,
2001-05,56153,
2001-06,54897,
2001-07,53845,
2001-08,51363,
2001-09,46805,
2001-10,48697,
2001-11,50806,
2001-12,51989,
2002-01,52276,
2002-02,51725,
2002-03,53201,
2002-04,53297,
2002-05,52104,
2002-06,47770,
2002-07,44924,
2002-08,45696,
2002-09,42276,
2002-10,47461,
2002-11,49162,
2002-12,45401,
2003-01,44214,
2003-02,42881,
2003-03,42624,
2003-04,44354,
2003-05,45022,
2003-06,45509,
2003-07,46063,
2003-08,46832,
2003-09,46215,
2003-10,49318,
2003-11,51567,
2003-12,53478,
2004-01,53560,
2004-02,55326,
2004-03,55108,
2004-04,54443,
2004-05,53644,
2004-06,53235,
2004-07,53027,
2004-08,53699,
2004-09,53516,
2004-10,53053,
2004-11,53790,
2004-12,53821,
2005-01,54742,
2005-02,55350,
2005-03,55090,
2005-04,54733,
2005-05,57411,
2005-06,59436,
2005-07,61432,
2005-08,61486,
2005-09,64671,
2005-10,64199,
2005-11,67087,
2005-12,67741,
2006-01,74080,
2006-02,76247,
2006-03,77018,
2006-04,77535,
2006-05,73573,
2006-06,70555,
2006-07,72728,
2006-08,74597,
2006-09,68820,
2006-10,70523,
2006-11,71147,
2006-12,71873,
2007-01,73196,
2007-02,70822,
2007-03,73135,
2007-04,73466,
2007-05,73648,
2007-06,72036,
2007-07,72095,
2007-08,72288,
2007-09,72448,
2007-10,74141,
2007-11,72097,
2007-12,71107,
2008-01,66098,
2008-02,65345,
2008-03,65319,
2008-04,67313,
2008-05,69901,
2008-06,67141,
2008-07,66329,
2008-08,66851,
2008-09,62571,
2008-10,61283,
2008-11,60436,
2008-12,57205,
2009-01,56917,
2009-02,54426,
2009-03,54319,
2009-04,46941,
2009-05,52846,
2009-06,50659,
2009-07,50537,
2009-08,50276,
2009-09,54784,
2009-10,53350,
2009-11,52115,
2009-12,53553,
2010-01,52117,
2010-02,52170,
2010-03,54618,
2010-04,55116,
2010-05,53783,
2010-06,53568,
2010-07,54882,
2010-08,54576,
2010-09,54208,
2010-10,55011,
2010-11,55289,
2010-12,56410,
2011-01,55245,
2011-02,56538,
2011-03,56029,
2011-04,56878,
2011-05,57245,
2011-06,56518,
2011-07,56631,
2011-08,53564,
2011-09,51907,
2011-10,52696,
2011-11,51998,
2011-12,53372,
2012-01,55055,
2012-02,55894,
2012-03,55898,
2012-04,52919,
2012-05,52199,
2012-06,52839,
2012-07,54063,
2012-08,55025,
2012-09,55656,
2012-10,56020,
2012-11,57076,
2012-12,59546,
2013-01,60836,
2013-02,61715,
2013-03,64655,
2013-04,65873,
2013-05,66521,
2013-06,63937,
2013-07,65951,
2013-08,65694,
2013-09,67346,
2013-10,69528,
2013-11,70708,
2013-12,69371,
2014-01,68299,
2014-02,70172,
2014-03,70353,
2014-04,75710,
2014-05,77575,
2014-06,77667,
2014-07,78483,
2014-08,80814,
2014-09,80598,
2014-10,73014,
2014-11,77735,
