"",BBK01.OEHO05R,BBK01.OEHO05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:20,
2002-01,0.007,
2002-04,0.005,
2002-07,0.006,
2002-10,0.094,
2003-01,0.006,
2003-04,0.004,
2003-07,0.006,
2003-10,0.082,
2004-01,0.005,
2004-04,0.003,
2004-07,0.003,
2004-10,0.075,
2005-01,0.003,
2005-04,0.003,
2005-07,0.003,
2005-10,0.071,
2006-01,0.003,
2006-04,0.003,
2006-07,0.003,
2006-10,0.073,
2007-01,0.003,
2007-04,0.003,
2007-07,0.003,
2007-10,0.078,
2008-01,0.003,
2008-04,0.003,
2008-07,0.003,
2008-10,0.085,
2009-01,0.004,
2009-04,0.003,
2009-07,0.003,
2009-10,0.075,
2010-01,0.002,
2010-04,0.002,
2010-07,0.003,
2010-10,0.066,
2011-01,0.014,
2011-04,0.012,
2011-07,0.015,
2011-10,0.055,
2012-01,0.010,
2012-04,0.010,
2012-07,0.013,
2012-10,0.054,
2013-01,0.006,
2013-04,0.010,
2013-07,0.010,
2013-10,0.043,
2014-01,0.006,
2014-04,0.008,
2014-07,0.010,
