"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.00125.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.00125.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Insurance corporations and pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:50,
2009-09,216,
2009-10,230,
2009-11,225,
2009-12,226,
2010-01,237,
2010-02,231,
2010-03,285,
2010-04,319,
2010-05,302,
2010-06,300,
2010-07,308,
2010-08,294,
2010-09,291,
2010-10,316,
2010-11,313,
2010-12,308,
2011-01,339,
2011-02,349,
2011-03,348,
2011-04,345,
2011-05,342,
2011-06,324,
2011-07,306,
2011-08,292,
2011-09,269,
2011-10,249,
2011-11,231,
2011-12,230,
2012-01,243,
2012-02,247,
2012-03,291,
2012-04,275,
2012-05,265,
2012-06,259,
2012-07,287,
2012-08,318,
2012-09,325,
2012-10,377,
2012-11,409,
2012-12,460,
2013-01,470,
2013-02,465,
2013-03,470,
2013-04,465,
2013-05,454,
2013-06,434,
2013-07,467,
2013-08,455,
2013-09,457,
2013-10,498,
2013-11,512,
2013-12,504,
2014-01,544,
2014-02,549,
2014-03,539,
2014-04,583,
2014-05,623,
2014-06,483,
2014-07,473,
2014-08,461,
2014-09,508,
2014-10,508,
2014-11,520,
