"",BBFI1.Q.N.DE.W1.S1V.S1.K7B.L.FA.O.F4.T._T.N.N,BBFI1.Q.N.DE.W1.S1V.S1.K7B.L.FA.O.F4.T._T.N.N_FLAGS
"","IIP - Other Investment - Loans - Liabilities - Revaluations due to price changes other than exchange rate changes - Non financial corporations, households and NPISH - all countries",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:07:36,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
