"",BBK01.OEAL08M,BBK01.OEAL08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:41,
2002-01,38.455,
2002-04,38.030,
2002-07,37.933,
2002-10,39.171,
2003-01,39.727,
2003-04,39.768,
2003-07,40.115,
2003-10,40.946,
2004-01,41.046,
2004-04,40.977,
2004-07,40.631,
2004-10,41.725,
2005-01,44.792,
2005-04,44.524,
2005-07,44.171,
2005-10,44.490,
2006-01,43.900,
2006-04,43.120,
2006-07,41.971,
2006-10,41.496,
2007-01,40.189,
2007-04,39.195,
2007-07,38.037,
2007-10,38.052,
2008-01,37.288,
2008-04,36.933,
2008-07,35.866,
2008-10,36.782,
2009-01,37.523,
2009-04,37.222,
2009-07,37.174,
2009-10,38.286,
2010-01,38.801,
2010-04,39.166,
2010-07,39.663,
2010-10,40.797,
2011-01,41.369,
2011-04,41.457,
2011-07,41.305,
2011-10,41.988,
2012-01,42.470,
2012-04,42.358,
2012-07,42.106,
2012-10,42.646,
2013-01,43.173,
2013-04,43.294,
2013-07,43.252,
2013-10,43.812,
2014-01,43.946,
2014-04,43.967,
2014-07,43.941,
