"",BBK01.OEXB04V,BBK01.OEXB04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:31,
2002-01,7.192,
2002-04,7.357,
2002-07,7.528,
2002-10,7.579,
2003-01,7.628,
2003-04,7.559,
2003-07,7.657,
2003-10,7.721,
2004-01,7.729,
2004-04,7.477,
2004-07,7.510,
2004-10,7.532,
2005-01,7.624,
2005-04,7.633,
2005-07,7.623,
2005-10,7.695,
2006-01,7.754,
2006-04,7.814,
2006-07,7.884,
2006-10,8.044,
2007-01,8.059,
2007-04,8.116,
2007-07,8.149,
2007-10,8.542,
2008-01,8.304,
2008-04,8.330,
2008-07,8.384,
2008-10,8.526,
2009-01,8.593,
2009-04,8.613,
2009-07,8.615,
2009-10,8.747,
2010-01,8.824,
2010-04,8.805,
2010-07,9.041,
2010-10,9.209,
2011-01,9.299,
2011-04,9.357,
2011-07,9.476,
2011-10,9.573,
2012-01,9.618,
2012-04,9.783,
2012-07,9.777,
2012-10,9.901,
2013-01,9.981,
2013-04,9.964,
2013-07,9.959,
2013-10,10.055,
2014-01,10.248,
2014-04,10.854,
2014-07,11.042,
