"",BBK01.OXA7D3,BBK01.OXA7D3_FLAGS
"","Other loans to domestic households, traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:28,
2009-12,3.882,
2010-01,3.816,
2010-02,3.754,
2010-03,3.701,
2010-04,3.652,
2010-05,3.601,
2010-06,3.554,
2010-07,3.509,
2010-08,3.461,
2010-09,3.416,
2010-10,3.375,
2010-11,3.666,
2010-12,3.577,
2011-01,3.471,
2011-02,3.421,
2011-03,3.376,
2011-04,3.347,
2011-05,3.300,
2011-06,3.292,
2011-07,3.261,
2011-08,4.775,
2011-09,4.710,
2011-10,4.703,
2011-11,4.631,
2011-12,4.665,
2012-01,4.666,
2012-02,4.541,
2012-03,4.488,
2012-04,4.350,
2012-05,4.274,
2012-06,4.226,
2012-07,4.385,
2012-08,4.329,
2012-09,4.255,
2012-10,4.167,
2012-11,4.154,
2012-12,4.114,
2013-01,4.098,
2013-02,4.276,
2013-03,4.206,
2013-04,4.136,
2013-05,4.086,
2013-06,4.279,
2013-07,4.206,
2013-08,4.149,
2013-09,4.055,
2013-10,4.034,
2013-11,3.994,
2013-12,3.893,
2014-01,3.882,
2014-02,3.756,
2014-03,3.706,
2014-04,3.410,
2014-05,3.401,
2014-06,3.338,
2014-07,3.270,
2014-08,3.510,
2014-09,2.675,
2014-10,3.476,
2014-11,3.418,
2014-12,3.361,Provisional value
