"",BBK01.OELB22M,BBK01.OELB22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:14,
2002-01,0.113,
2002-04,0.126,
2002-07,0.144,
2002-10,0.105,
2003-01,0.097,
2003-04,0.135,
2003-07,0.118,
2003-10,0.099,
2004-01,0.096,
2004-04,0.103,
2004-07,0.108,
2004-10,0.118,
2005-01,0.126,
2005-04,0.139,
2005-07,0.142,
2005-10,0.120,
2006-01,0.129,
2006-04,0.138,
2006-07,0.135,
2006-10,0.099,
2007-01,0.121,
2007-04,0.140,
2007-07,0.114,
2007-10,0.115,
2008-01,0.105,
2008-04,0.106,
2008-07,0.101,
2008-10,0.086,
2009-01,0.086,
2009-04,0.123,
2009-07,0.091,
2009-10,0.093,
2010-01,0.102,
2010-04,0.109,
2010-07,0.097,
2010-10,0.102,
2011-01,0.101,
2011-04,0.102,
2011-07,0.118,
2011-10,0.107,
2012-01,0.095,
2012-04,0.094,
2012-07,0.109,
2012-10,0.107,
2013-01,0.097,
2013-04,0.100,
2013-07,0.101,
2013-10,0.087,
2014-01,0.104,
2014-04,0.093,
2014-07,0.100,
