"",BBK01.OEBB19K,BBK01.OEBB19K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:14,
2002-01,1.028,
2002-04,0.992,
2002-07,1.023,
2002-10,1.312,
2003-01,1.289,
2003-04,1.806,
2003-07,2.482,
2003-10,1.966,
2004-01,2.608,
2004-04,1.990,
2004-07,2.032,
2004-10,2.745,
2005-01,2.280,
2005-04,2.200,
2005-07,2.389,
2005-10,2.426,
2006-01,2.411,
2006-04,2.480,
2006-07,2.564,
2006-10,2.629,
2007-01,2.625,
2007-04,2.712,
2007-07,2.756,
2007-10,2.658,
2008-01,2.690,
2008-04,2.714,
2008-07,2.759,
2008-10,3.106,
2009-01,3.142,
2009-04,3.187,
2009-07,3.269,
2009-10,3.249,
2010-01,3.198,
2010-04,1.822,
2010-07,1.882,
2010-10,1.928,
2011-01,1.893,
2011-04,1.885,
2011-07,1.888,
2011-10,1.915,
2012-01,1.883,
2012-04,1.879,
2012-07,2.014,
2012-10,2.005,
2013-01,2.035,
2013-04,2.086,
2013-07,2.123,
2013-10,2.122,
2014-01,2.134,
2014-04,1.980,
2014-07,1.990,
