"",BBK01.OECL05S,BBK01.OECL05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:49,
2002-01,0.002,
2002-04,0.002,
2002-07,0.002,
2002-10,-,Nothing exists
2003-01,0.001,
2003-04,-,Nothing exists
2003-07,0.002,
2003-10,0.001,
2004-01,0.001,
2004-04,0.002,
2004-07,0.002,
2004-10,0.002,
2005-01,0.080,
2005-04,0.079,
2005-07,0.076,
2005-10,0.073,
2006-01,0.069,
2006-04,0.068,
2006-07,0.068,
2006-10,0.067,
2007-01,0.063,
2007-04,0.063,
2007-07,0.062,
2007-10,0.060,
2008-01,0.059,
2008-04,0.056,
2008-07,0.053,
2008-10,0.058,
2009-01,0.058,
2009-04,0.056,
2009-07,0.062,
2009-10,0.068,
2010-01,0.070,
2010-04,0.068,
2010-07,0.066,
2010-10,0.063,
2011-01,0.063,
2011-04,0.050,
2011-07,0.046,
2011-10,0.043,
2012-01,0.039,
2012-04,0.040,
2012-07,0.037,
2012-10,0.035,
2013-01,0.029,
2013-04,0.028,
2013-07,0.027,
2013-10,0.025,
2014-01,0.021,
2014-04,0.020,
2014-07,0.017,
