"",BBK01.CEFEN0,BBK01.CEFEN0_FLAGS
"",short-term loans                                              debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:26,
1999-01,174.6,
1999-04,185.7,
1999-07,194.5,
1999-10,208.0,
2000-01,219.1,
2000-04,247.0,
2000-07,233.3,
2000-10,221.7,
2001-01,306.7,
2001-04,288.7,
2001-07,279.8,
2001-10,244.0,
2002-01,266.4,
2002-04,245.5,
2002-07,272.2,
2002-10,250.5,
2003-01,283.3,
2003-04,261.4,
2003-07,273.4,
2003-10,281.2,
2004-01,319.9,
2004-04,278.5,
2004-07,333.0,
2004-10,311.3,
2005-01,325.5,
2005-04,319.1,
2005-07,340.1,
2005-10,356.9,
2006-01,341.7,
2006-04,340.4,
2006-07,373.0,
2006-10,350.5,
2007-01,379.2,
2007-04,388.5,
2007-07,426.5,
2007-10,444.1,
2008-01,488.2,
2008-04,476.8,
2008-07,492.7,
2008-10,455.6,
2009-01,482.8,
2009-04,510.0,
2009-07,492.5,
2009-10,484.4,
2010-01,526.3,
2010-04,596.9,
2010-07,644.9,
2010-10,657.9,
2011-01,672.9,
2011-04,693.2,
2011-07,822.4,
2011-10,799.0,
2012-01,974.8,
2012-04,1079.5,
2012-07,1045.3,
2012-10,998.4,
2013-01,950.3,
2013-04,936.8,
2013-07,920.6,
2013-10,851.6,
2014-01,823.0,
2014-04,830.0,
2014-07,851.3,
