"",BBFN1.M.DE.N.1.A.SE.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SE.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Sweden,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:16,
1975-12,0.005,
1976-01,0.003,
1976-02,0.006,
1976-03,0.004,
1976-04,0.004,
1976-05,0.004,
1976-06,0.004,
1976-07,0.005,
1976-08,0.005,
1976-09,0.003,
1976-10,0.007,
1976-11,0.004,
1976-12,0.004,
1977-01,0.004,
1977-02,0.006,
1977-03,0.003,
1977-04,0.004,
1977-05,0.004,
1977-06,0.005,
1977-07,0.004,
1977-08,0.004,
1977-09,0.003,
1977-10,0.005,
1977-11,0.005,
1977-12,0.005,
1978-01,0.007,
1978-02,0.004,
1978-03,0.004,
1978-04,0.003,
1978-05,0.003,
1978-06,0.003,
1978-07,0.003,
1978-08,0.004,
1978-09,0.005,
1978-10,0.004,
1978-11,0.005,
1978-12,0.006,
1979-01,0.004,
1979-02,0.004,
1979-03,0.003,
1979-04,0.003,
1979-05,0.006,
1979-06,0.004,
1979-07,0.003,
1979-08,0.005,
1979-09,0.004,
1979-10,0.004,
1979-11,0.004,
1979-12,0.005,
1980-01,0.003,
1980-02,0.004,
1980-03,0.004,
1980-04,0.004,
1980-05,0.004,
1980-06,0.008,
1980-07,0.004,
1980-08,0.004,
1980-09,0.004,
1980-10,0.004,
1980-11,0.006,
1980-12,0.012,
1981-01,0.009,
1981-02,0.007,
1981-03,0.008,
1981-04,0.010,
1981-05,0.010,
1981-06,0.010,
1981-07,0.007,
1981-08,0.008,
1981-09,0.009,
1981-10,0.009,
1981-11,0.010,
1981-12,0.013,
1982-01,0.010,
1982-02,0.007,
1982-03,0.008,
1982-04,0.012,
1982-05,0.006,
1982-06,0.020,
1982-07,0.021,
1982-08,0.020,
1982-09,0.005,
1982-10,0.005,
1982-11,0.004,
1982-12,0.007,
1983-01,0.005,
1983-02,0.010,
1983-03,0.028,
1983-04,0.027,
1983-05,0.026,
1983-06,0.026,
1983-07,0.033,
1983-08,0.031,
1983-09,0.029,
1983-10,0.028,
1983-11,0.028,
1983-12,0.018,
1984-01,0.017,
1984-02,0.017,
1984-03,0.015,
1984-04,0.019,
1984-05,0.013,
1984-06,0.015,
1984-07,0.010,
1984-08,0.010,
1984-09,0.012,
1984-10,0.021,
1984-11,0.019,
1984-12,0.013,
1985-01,0.025,
1985-02,0.012,
1985-03,0.009,
1985-04,0.009,
1985-05,0.013,
1985-06,0.012,
1985-07,0.008,
1985-08,0.010,
1985-09,0.007,
1985-10,0.013,
1985-11,0.011,
1985-12,0.019,
1986-01,0.009,
1986-02,0.008,
1986-03,0.009,
1986-04,0.009,
1986-05,0.008,
1986-06,0.008,
1986-07,0.026,
1986-08,0.007,
1986-09,0.006,
1986-10,0.007,
1986-11,0.008,
1986-12,0.008,
1987-01,0.006,
1987-02,0.014,
1987-03,0.014,
1987-04,0.014,
1987-05,0.012,
1987-06,0.012,
1987-07,0.028,
1987-08,0.014,
1987-09,0.026,
1987-10,0.024,
1987-11,0.024,
1987-12,0.010,
1988-01,0.006,
1988-02,0.016,
1988-03,0.024,
1988-04,0.020,
1988-05,0.029,
1988-06,0.032,
1988-07,0.013,
1988-08,0.011,
1988-09,0.031,
1988-10,0.025,
1988-11,0.024,
1988-12,0.018,
1989-01,0.020,
1989-02,0.025,
1989-03,0.022,
1989-04,0.021,
1989-05,0.018,
1989-06,0.018,
1989-07,0.020,
1989-08,0.069,
1989-09,0.059,
1989-10,0.061,
1989-11,0.050,
1989-12,0.071,
1990-01,0.078,
1990-02,0.106,
1990-03,0.099,
1990-04,0.100,
1990-05,0.080,
1990-06,0.090,
1990-07,0.087,
1990-08,0.090,
1990-09,0.085,
1990-10,0.073,
1990-11,0.074,
1990-12,0.063,
1991-01,0.070,
1991-02,0.085,
1991-03,0.082,
1991-04,0.082,
1991-05,0.098,
1991-06,0.094,
1991-07,0.098,
1991-08,0.108,
1991-09,0.079,
1991-10,0.113,
1991-11,0.099,
1991-12,0.088,
1992-01,0.113,
1992-02,0.118,
1992-03,0.121,
1992-04,0.127,
1992-05,0.106,
1992-06,0.114,
1992-07,0.112,
1992-08,0.101,
1992-09,0.092,
1992-10,0.095,
1992-11,0.086,
1992-12,0.067,
1993-01,0.069,
1993-02,0.081,
1993-03,0.063,
1993-04,0.082,
1993-05,0.100,
1993-06,0.084,
1993-07,0.074,
1993-08,0.087,
1993-09,0.096,
1993-10,0.083,
1993-11,0.061,
1993-12,0.072,
1994-01,0.063,
1994-02,0.018,
1994-03,0.013,
1994-04,0.032,
1994-05,0.015,
1994-06,0.019,
1994-07,0.021,
1994-08,0.014,
1994-09,0.021,
1994-10,0.013,
1994-11,0.020,
1994-12,0.024,
1995-01,0.040,
1995-02,0.049,
1995-03,0.066,
1995-04,0.051,
1995-05,0.130,
1995-06,0.112,
1995-07,0.168,
1995-08,0.082,
1995-09,0.080,
1995-10,0.109,
1995-11,0.100,
1995-12,0.109,
1996-01,0.050,
1996-02,0.073,
1996-03,0.066,
1996-04,0.094,
1996-05,0.138,
1996-06,0.139,
1996-07,0.117,
1996-08,0.126,
1996-09,0.045,
1996-10,0.061,
1996-11,0.273,
1996-12,0.193,
1997-01,0.040,
1997-02,0.035,
1997-03,0.069,
1997-04,0.246,
1997-05,0.230,
1997-06,0.069,
1997-07,0.205,
1997-08,0.220,
1997-09,0.121,
1997-10,0.161,
1997-11,0.125,
1997-12,0.111,
1998-01,0.141,
1998-02,0.156,
1998-03,0.129,
1998-04,0.120,
1998-05,0.133,
1998-06,0.185,
1998-07,0.183,
1998-08,0.153,
1998-09,0.144,
1998-10,0.123,
1998-11,0.151,
1998-12,0.146,
1999-01,0.158,
1999-02,0.128,
1999-03,0.143,
1999-04,0.150,
1999-05,0.157,
1999-06,0.148,
1999-07,0.160,
1999-08,0.161,
1999-09,0.147,
1999-10,0.141,
1999-11,0.146,
1999-12,0.136,
2000-01,0.228,
2000-02,0.242,
2000-03,0.182,
2000-04,0.181,
2000-05,0.161,
2000-06,0.143,
2000-07,0.050,
2000-08,0.051,
2000-09,0.077,
2000-10,0.086,
2000-11,0.090,
2000-12,0.021,
2001-01,0.040,
2001-02,0.055,
2001-03,0.023,
2001-04,0.051,
2001-05,0.040,
2001-06,0.053,
2001-07,0.159,
2001-08,0.224,
2001-09,0.434,
2001-10,0.142,
2001-11,0.219,
2001-12,0.016,
2002-01,0.212,
2002-02,0.200,
2002-03,0.089,
2002-04,0.062,
2002-05,0.040,
2002-06,0.025,
2002-07,0.043,
2002-08,0.059,
2002-09,0.037,
2002-10,0.139,
2002-11,0.084,
2002-12,0.020,
2003-01,0.063,
2003-02,0.080,
2003-03,0.044,
2003-04,0.059,
2003-05,0.073,
2003-06,0.108,
2003-07,0.116,
2003-08,0.261,
2003-09,0.232,
2003-10,0.269,
2003-11,0.251,
2003-12,0.263,
2004-01,0.261,
2004-02,0.133,
2004-03,0.127,
2004-04,0.182,
2004-05,0.027,
2004-06,0.390,
2004-07,0.732,
2004-08,0.657,
2004-09,0.618,
2004-10,0.355,
2004-11,0.476,
2004-12,0.244,
2005-01,0.503,
2005-02,0.532,
2005-03,0.734,
2005-04,0.911,
2005-05,0.679,
2005-06,0.861,
2005-07,0.689,
2005-08,0.534,
2005-09,0.648,
2005-10,0.452,
2005-11,0.143,
2005-12,0.075,
2006-01,0.556,
2006-02,0.566,
2006-03,0.048,
2006-04,0.100,
2006-05,0.293,
2006-06,0.236,
2006-07,0.870,
2006-08,0.675,
2006-09,0.498,
2006-10,0.792,
2006-11,0.951,
2006-12,0.707,
2007-01,0.565,
2007-02,0.692,
2007-03,0.583,
2007-04,0.545,
2007-05,0.110,
2007-06,0.717,
2007-07,0.985,
2007-08,0.785,
2007-09,0.531,
2007-10,0.178,
2007-11,0.637,
2007-12,0.371,
2008-01,0.393,
2008-02,0.291,
2008-03,0.302,
2008-04,0.191,
2008-05,0.206,
2008-06,0.203,
2008-07,0.194,
2008-08,0.284,
2008-09,0.510,
2008-10,0.570,
2008-11,0.537,
2008-12,0.341,
2009-01,0.585,
2009-02,0.747,
2009-03,0.765,
2009-04,1.447,
2009-05,1.136,
2009-06,1.077,
2009-07,0.835,
2009-08,1.031,
2009-09,1.008,
2009-10,1.010,
2009-11,0.831,
2009-12,0.757,
2010-01,0.833,
2010-02,0.906,
2010-03,0.964,
2010-04,1.417,
2010-05,1.235,
2010-06,1.177,
2010-07,1.616,
2010-08,2.017,
2010-09,1.683,
2010-10,1.751,
2010-11,2.034,
2010-12,1.229,
2011-01,1.271,
2011-02,1.537,
2011-03,1.263,
2011-04,1.031,
2011-05,0.679,
2011-06,0.661,
2011-07,0.608,
2011-08,0.866,
2011-09,0.846,
2011-10,0.936,
2011-11,1.110,
2011-12,1.460,
2012-01,1.820,
2012-02,1.078,
2012-03,0.751,
2012-04,0.711,
2012-05,0.985,
2012-06,1.501,
2012-07,1.372,
2012-08,0.992,
2012-09,0.914,
2012-10,1.105,
2012-11,1.134,
2012-12,0.880,
2013-01,0.818,
2013-02,0.902,
2013-03,1.132,
2013-04,0.993,
2013-05,0.902,
2013-06,1.038,
2013-07,1.053,
2013-08,2.479,
2013-09,2.304,
2013-10,1.705,
2013-11,2.075,
2013-12,1.734,
2014-01,1.787,
2014-02,1.320,
2014-03,1.383,
2014-04,4.155,
2014-05,0.808,
2014-06,1.414,
2014-07,1.569,
2014-08,1.786,
2014-09,1.034,
2014-10,1.103,
2014-11,1.178,
2014-12,0.815,
