"",BBK01.OELO03O,BBK01.OELO03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:39,
2002-01,1.999,
2002-04,1.468,
2002-07,1.657,
2002-10,1.447,
2003-01,1.582,
2003-04,1.240,
2003-07,1.258,
2003-10,1.252,
2004-01,1.538,
2004-04,1.053,
2004-07,1.093,
2004-10,1.328,
2005-01,1.390,
2005-04,1.146,
2005-07,1.098,
2005-10,1.314,
2006-01,1.630,
2006-04,1.206,
2006-07,1.330,
2006-10,1.489,
2007-01,1.875,
2007-04,1.446,
2007-07,1.521,
2007-10,1.463,
2008-01,1.546,
2008-04,1.219,
2008-07,1.455,
2008-10,1.507,
2009-01,1.380,
2009-04,0.954,
2009-07,1.026,
2009-10,1.057,
2010-01,1.116,
2010-04,0.909,
2010-07,0.861,
2010-10,0.942,
2011-01,1.019,
2011-04,0.861,
2011-07,0.939,
2011-10,0.964,
2012-01,0.976,
2012-04,0.867,
2012-07,1.004,
2012-10,1.213,
2013-01,1.307,
2013-04,0.961,
2013-07,0.917,
2013-10,0.896,
2014-01,1.071,
2014-04,0.919,
2014-07,0.919,
