"",BBK01.OEXB16L,BBK01.OEXB16L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:40,
2002-01,1.161,
2002-04,1.245,
2002-07,1.366,
2002-10,1.509,
2003-01,1.651,
2003-04,1.593,
2003-07,1.634,
2003-10,1.701,
2004-01,1.844,
2004-04,1.954,
2004-07,1.821,
2004-10,2.128,
2005-01,1.853,
2005-04,1.893,
2005-07,1.965,
2005-10,2.739,
2006-01,2.768,
2006-04,2.737,
2006-07,2.667,
2006-10,2.835,
2007-01,2.920,
2007-04,3.045,
2007-07,3.140,
2007-10,3.885,
2008-01,3.995,
2008-04,3.761,
2008-07,3.802,
2008-10,3.932,
2009-01,3.735,
2009-04,3.882,
2009-07,3.937,
2009-10,4.081,
2010-01,4.141,
2010-04,4.265,
2010-07,4.467,
2010-10,4.588,
2011-01,4.664,
2011-04,4.808,
2011-07,4.942,
2011-10,5.043,
2012-01,5.101,
2012-04,5.206,
2012-07,5.260,
2012-10,5.275,
2013-01,5.277,
2013-04,5.266,
2013-07,5.298,
2013-10,5.320,
2014-01,5.313,
2014-04,5.351,
2014-07,5.397,
