"",BBK01.OEAD34L,BBK01.OEAD34L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:04,
2002-01,0.465,
2002-04,0.474,
2002-07,0.500,
2002-10,0.511,
2003-01,0.497,
2003-04,0.435,
2003-07,0.440,
2003-10,0.448,
2004-01,0.406,
2004-04,0.352,
2004-07,0.344,
2004-10,0.388,
2005-01,0.475,
2005-04,0.450,
2005-07,0.471,
2005-10,0.655,
2006-01,0.334,
2006-04,0.338,
2006-07,0.357,
2006-10,0.369,
2007-01,0.413,
2007-04,0.390,
2007-07,0.381,
2007-10,0.397,
2008-01,0.376,
2008-04,0.390,
2008-07,0.463,
2008-10,0.437,
2009-01,0.431,
2009-04,0.377,
2009-07,0.379,
2009-10,0.370,
2010-01,0.369,
2010-04,0.347,
2010-07,0.357,
2010-10,0.346,
2011-01,0.338,
2011-04,0.326,
2011-07,0.322,
2011-10,0.341,
2012-01,0.330,
2012-04,0.315,
2012-07,0.306,
2012-10,0.294,
2013-01,0.302,
2013-04,0.299,
2013-07,0.316,
2013-10,0.307,
2014-01,0.284,
2014-04,0.265,
2014-07,0.282,
