"",BBK01.OELB15L,BBK01.OELB15L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:59,
2002-01,1.082,
2002-04,1.048,
2002-07,1.037,
2002-10,0.997,
2003-01,0.965,
2003-04,0.941,
2003-07,0.905,
2003-10,0.873,
2004-01,0.850,
2004-04,0.831,
2004-07,0.816,
2004-10,0.772,
2005-01,0.745,
2005-04,0.741,
2005-07,0.729,
2005-10,0.705,
2006-01,0.682,
2006-04,0.674,
2006-07,0.658,
2006-10,0.635,
2007-01,0.631,
2007-04,0.644,
2007-07,0.641,
2007-10,0.619,
2008-01,0.606,
2008-04,0.588,
2008-07,0.571,
2008-10,0.546,
2009-01,0.536,
2009-04,0.537,
2009-07,0.533,
2009-10,0.526,
2010-01,0.518,
2010-04,0.489,
2010-07,0.487,
2010-10,0.473,
2011-01,0.485,
2011-04,0.484,
2011-07,0.475,
2011-10,0.477,
2012-01,0.487,
2012-04,0.589,
2012-07,0.593,
2012-10,0.591,
2013-01,0.595,
2013-04,0.595,
2013-07,0.606,
2013-10,0.613,
2014-01,0.605,
2014-04,0.611,
2014-07,0.615,
