"",BBFB1.Q.N.DE.S19800.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:24,
1991-01,-422.342,
1991-04,-406.532,
1991-07,-347.520,
1991-10,-353.996,
1992-01,-472.902,
1992-04,-395.707,
1992-07,-524.375,
1992-10,-509.662,
1993-01,-462.835,
1993-04,-440.021,
1993-07,-450.724,
1993-10,-504.302,
1994-01,-595.773,
1994-04,-507.990,
1994-07,-590.169,
1994-10,-621.425,
1995-01,-552.856,
1995-04,-463.646,
1995-07,-484.651,
1995-10,-498.561,
1996-01,-575.017,
1996-04,-557.166,
1996-07,-543.594,
1996-10,-513.746,
1997-01,-704.899,
1997-04,-558.855,
1997-07,-356.868,
1997-10,-607.286,
1998-01,-582.730,
1998-04,-368.265,
1998-07,-443.360,
1998-10,-532.405,
1999-01,-585.376,
1999-04,-386.418,
1999-07,-440.840,
1999-10,-573.976,
2000-01,-620.641,
2000-04,-522.845,
2000-07,-523.736,
2000-10,-691.286,
2001-01,-929.369,
2001-04,-577.343,
2001-07,-426.697,
2001-10,-546.434,
2002-01,-649.593,
2002-04,-386.966,
2002-07,-359.844,
2002-10,-492.923,
2003-01,-510.371,
2003-04,-284.143,
2003-07,-309.138,
2003-10,-344.817,
2004-01,-684.824,
2004-04,-207.285,
2004-07,-343.506,
2004-10,-334.803,
2005-01,-711.534,
2005-04,-421.818,
2005-07,-434.823,
2005-10,-471.296,
2006-01,-852.559,
2006-04,-489.362,
2006-07,-462.918,
2006-10,-774.721,
2007-01,-819.463,
2007-04,-637.768,
2007-07,-774.570,
2007-10,-897.952,
2008-01,-700.659,
2008-04,-723.424,
2008-07,-502.745,
2008-10,-607.735,
2009-01,-248.484,
2009-04,-136.950,
2009-07,-307.168,
2009-10,-458.563,
2010-01,-558.607,
2010-04,-565.418,
2010-07,-580.765,
2010-10,-659.113,
2011-01,-754.894,
2011-04,-657.474,
2011-07,-393.931,
2011-10,-647.075,
2012-01,-958.186,
2012-04,-773.813,
2012-07,-681.479,
2012-10,-840.526,
2013-01,-1367.432,
2013-04,-1091.579,
2013-07,-997.631,
2013-10,-1058.390,
2014-01,-999.313,Provisional value
2014-04,-598.407,Provisional value
2014-07,-889.890,Provisional value
