"",BBK01.OECI09O,BBK01.OECI09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:15,
2002-01,0.057,
2002-04,0.057,
2002-07,0.058,
2002-10,0.058,
2003-01,0.055,
2003-04,0.055,
2003-07,0.052,
2003-10,0.052,
2004-01,0.055,
2004-04,0.054,
2004-07,0.050,
2004-10,0.052,
2005-01,0.067,
2005-04,0.065,
2005-07,0.059,
2005-10,0.058,
2006-01,0.058,
2006-04,0.060,
2006-07,0.060,
2006-10,0.064,
2007-01,0.086,
2007-04,0.097,
2007-07,0.105,
2007-10,0.119,
2008-01,0.129,
2008-04,0.129,
2008-07,0.142,
2008-10,0.219,
2009-01,0.206,
2009-04,0.211,
2009-07,0.213,
2009-10,0.159,
2010-01,0.133,
2010-04,0.126,
2010-07,0.117,
2010-10,0.137,
2011-01,0.162,
2011-04,0.171,
2011-07,0.177,
2011-10,0.172,
2012-01,0.166,
2012-04,0.163,
2012-07,0.152,
2012-10,0.128,
2013-01,0.107,
2013-04,0.090,
2013-07,0.085,
2013-10,0.078,
2014-01,0.075,
2014-04,0.070,
2014-07,0.085,
