"",BBK01.OEAC54G,BBK01.OEAC54G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:25,
2002-01,55.364,
2002-04,56.018,
2002-07,55.586,
2002-10,56.170,
2003-01,55.918,
2003-04,55.937,
2003-07,56.054,
2003-10,56.690,
2004-01,56.585,
2004-04,56.925,
2004-07,57.061,
2004-10,57.129,
2005-01,57.060,
2005-04,56.983,
2005-07,56.982,
2005-10,57.696,
2006-01,55.573,
2006-04,54.958,
2006-07,55.192,
2006-10,55.275,
2007-01,55.158,
2007-04,55.390,
2007-07,56.222,
2007-10,56.621,
2008-01,56.355,
2008-04,57.183,
2008-07,59.460,
2008-10,59.125,
2009-01,58.165,
2009-04,59.671,
2009-07,59.927,
2009-10,59.066,
2010-01,55.753,
2010-04,55.756,
2010-07,56.919,
2010-10,57.177,
2011-01,57.410,
2011-04,57.914,
2011-07,57.578,
2011-10,58.007,
2012-01,57.752,
2012-04,59.857,
2012-07,61.134,
2012-10,61.387,
2013-01,61.665,
2013-04,62.385,
2013-07,59.542,
2013-10,61.289,
2014-01,61.267,
2014-04,61.757,
2014-07,62.261,
