"",BBK01.OEAD28K,BBK01.OEAD28K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:44,
2002-01,0.164,
2002-04,0.137,
2002-07,0.181,
2002-10,0.289,
2003-01,0.295,
2003-04,0.295,
2003-07,0.297,
2003-10,0.308,
2004-01,0.308,
2004-04,0.337,
2004-07,0.315,
2004-10,0.211,
2005-01,0.217,
2005-04,0.197,
2005-07,0.163,
2005-10,0.167,
2006-01,0.085,
2006-04,0.075,
2006-07,0.067,
2006-10,0.087,
2007-01,0.063,
2007-04,0.071,
2007-07,0.069,
2007-10,0.100,
2008-01,0.087,
2008-04,0.105,
2008-07,0.172,
2008-10,0.153,
2009-01,0.139,
2009-04,0.062,
2009-07,0.062,
2009-10,0.062,
2010-01,0.046,
2010-04,0.050,
2010-07,0.066,
2010-10,0.080,
2011-01,0.091,
2011-04,0.109,
2011-07,0.124,
2011-10,0.118,
2012-01,0.109,
2012-04,0.099,
2012-07,0.102,
2012-10,0.055,
2013-01,0.085,
2013-04,0.078,
2013-07,0.071,
2013-10,0.063,
2014-01,0.066,
2014-04,0.061,
2014-07,0.064,
