"",BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:18,
1991-01,40.321,
1991-04,13.145,
1991-07,29.270,
1991-10,27.469,
1992-01,132.771,
1992-04,119.495,
1992-07,-75.537,
1992-10,-63.539,
1993-01,19.882,
1993-04,11.526,
1993-07,149.823,
1993-10,12.240,
1994-01,58.236,
1994-04,187.928,
1994-07,137.915,
1994-10,-201.779,
1995-01,115.362,
1995-04,372.825,
1995-07,413.272,
1995-10,441.274,
1996-01,539.637,
1996-04,85.901,
1996-07,-22.587,
1996-10,241.892,
1997-01,-149.213,
1997-04,217.474,
1997-07,191.382,
1997-10,390.238,
1998-01,154.143,
1998-04,66.452,
1998-07,278.155,
1998-10,-344.965,
1999-01,-207.437,
1999-04,641.356,
1999-07,375.140,
1999-10,-531.638,
2000-01,179.608,
2000-04,399.350,
2000-07,-102.054,
2000-10,-100.588,
2001-01,-27.933,
2001-04,156.571,
2001-07,195.760,
2001-10,-61.800,
2002-01,13.152,
2002-04,318.522,
2002-07,-80.045,
2002-10,168.148,
2003-01,33.032,
2003-04,-150.049,
2003-07,236.828,
2003-10,-166.159,
2004-01,-201.436,
2004-04,288.109,
2004-07,-62.958,
2004-10,588.605,
2005-01,-470.459,
2005-04,131.550,
2005-07,203.589,
2005-10,116.196,
2006-01,80.859,
2006-04,751.335,
2006-07,-219.844,
2006-10,-292.855,
2007-01,196.354,
2007-04,96.784,
2007-07,834.232,
2007-10,-239.533,
2008-01,1197.912,
2008-04,910.966,
2008-07,319.119,
2008-10,-1333.615,
2009-01,-595.878,
2009-04,455.698,
2009-07,358.594,
2009-10,29.088,
2010-01,564.475,
2010-04,939.593,
2010-07,3035.707,
2010-10,-1989.695,
2011-01,1238.609,
2011-04,635.684,
2011-07,-166.931,
2011-10,-194.362,
2012-01,-165.844,
2012-04,3571.129,
2012-07,48.767,
2012-10,-4380.933,
2013-01,2815.035,
2013-04,82.094,
2013-07,575.463,
2013-10,2657.794,
2014-01,1550.552,Provisional value
2014-04,3830.164,Provisional value
2014-07,365.812,Provisional value
2014-10,-1230.168,Provisional value
