"",BBSF2.M.1.T.00000.DAC01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.DAC01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Funds total / Funds-of-funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:16,
2009-09,61,
2009-10,81,
2009-11,56,
2009-12,20,
2010-01,11,
2010-02,2,
2010-03,2,
2010-04,2,
2010-05,6,
2010-06,6,
2010-07,6,
2010-08,6,
2010-09,7,
2010-10,9,
2010-11,9,
2010-12,3,
2011-01,12,
2011-02,13,
2011-03,18,
2011-04,18,
2011-05,18,
2011-06,17,
2011-07,18,
2011-08,15,
2011-09,15,
2011-10,17,
2011-11,15,
2011-12,4,
2012-01,2,
2012-02,3,
2012-03,9,
2012-04,13,
2012-05,12,
2012-06,11,
2012-07,14,
2012-08,14,
2012-09,28,
2012-10,29,
2012-11,29,
2012-12,17,
2013-01,27,
2013-02,25,
2013-03,27,
2013-04,46,
2013-05,46,
2013-06,31,
2013-07,33,
2013-08,21,
2013-09,19,
2013-10,19,
2013-11,15,
2013-12,11,
2014-01,9,
2014-02,18,
2014-03,14,
2014-04,14,
2014-05,16,
2014-06,13,
2014-07,10,
2014-08,14,
2014-09,14,
2014-10,14,
2014-11,14,
