"",BBK01.OELB07G,BBK01.OELB07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:14,
2002-01,7.890,
2002-04,7.708,
2002-07,7.527,
2002-10,7.233,
2003-01,6.931,
2003-04,6.675,
2003-07,6.496,
2003-10,6.316,
2004-01,6.094,
2004-04,5.976,
2004-07,5.844,
2004-10,5.575,
2005-01,5.424,
2005-04,5.327,
2005-07,5.288,
2005-10,5.258,
2006-01,5.134,
2006-04,5.114,
2006-07,5.039,
2006-10,4.990,
2007-01,4.937,
2007-04,4.925,
2007-07,4.907,
2007-10,4.897,
2008-01,4.798,
2008-04,4.755,
2008-07,4.820,
2008-10,4.766,
2009-01,4.721,
2009-04,4.728,
2009-07,4.755,
2009-10,4.744,
2010-01,4.616,
2010-04,4.631,
2010-07,4.658,
2010-10,4.684,
2011-01,4.732,
2011-04,4.782,
2011-07,4.840,
2011-10,4.846,
2012-01,4.896,
2012-04,5.095,
2012-07,5.210,
2012-10,5.179,
2013-01,5.222,
2013-04,5.340,
2013-07,5.456,
2013-10,5.479,
2014-01,5.492,
2014-04,5.513,
2014-07,5.621,
