"",BBFB1.Q.N.DE.W1.S121.S1.T.L.FA.O.F2.S._T.N.N,BBFB1.Q.N.DE.W1.S121.S1.T.L.FA.O.F2.S._T.N.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Currency and deposits / Rest of the World / Central bank / Other Investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:09,
1991-01,-818.812,
1991-04,-1534.328,
1991-07,-1249.823,
1991-10,-1359.097,
1992-01,-1220.735,
1992-04,-2630.577,
1992-07,-2386.273,
1992-10,-1328.815,
1993-01,-2.386,
1993-04,220.731,
1993-07,-711.879,
1993-10,-865.805,
1994-01,-377.373,
1994-04,-1952.439,
1994-07,-255.458,
1994-10,795.434,
1995-01,-372.018,
1995-04,-1420.633,
1995-07,-177.500,
1995-10,55.774,
1996-01,117.701,
1996-04,24.450,
1996-07,-592.333,
1996-10,-456.570,
1997-01,-442.395,
1997-04,48.066,
1997-07,34.436,
1997-10,31.118,
1998-01,-36.244,
1998-04,-56.938,
1998-07,50.092,
1998-10,1877.697,
1999-01,-1680.051,
1999-04,-255.570,
1999-07,-43.029,
1999-10,-12.108,
2000-01,-34.257,
2000-04,74.763,
2000-07,327.416,
2000-10,45.654,
2001-01,177.336,
2001-04,70.439,
2001-07,2354.783,
2001-10,28.243,
2002-01,1281.015,
2002-04,-547.579,
2002-07,727.756,
2002-10,-808.502,
2003-01,1697.247,
2003-04,28.427,
2003-07,418.029,
2003-10,-161.149,
2004-01,-1001.819,
2004-04,-564.476,
2004-07,-1353.711,
2004-10,468.798,
2005-01,-1769.105,
2005-04,-690.305,
2005-07,1745.988,
2005-10,-1391.306,
2006-01,63.421,
2006-04,-387.073,
2006-07,-849.639,
2006-10,-113.882,
2007-01,355.313,
2007-04,979.407,
2007-07,1959.600,
2007-10,8054.225,
2008-01,9133.395,
2008-04,-1406.186,
2008-07,2972.656,
2008-10,3650.994,
2009-01,-23438.738,
2009-04,2617.051,
2009-07,-1448.895,
2009-10,488.968,
2010-01,277.175,
2010-04,1783.639,
2010-07,-170.172,
2010-10,3627.497,
2011-01,-1041.768,
2011-04,-2853.859,
2011-07,3101.880,
2011-10,32745.854,
2012-01,-28984.177,
2012-04,67300.777,
2012-07,10877.200,
2012-10,10742.221,
2013-01,-26183.138,
2013-04,-11187.154,
2013-07,-3185.132,
2013-10,-8719.640,
2014-01,-22765.628,
2014-04,8820.169,
2014-07,-25326.720,
