"",BBFB1.Q.Y.DE.W1.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Services / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:11,
1991-01,19.08,
1991-04,19.11,
1991-07,19.39,
1991-10,19.89,
1992-01,21.03,
1992-04,21.06,
1992-07,21.08,
1992-10,21.64,
1993-01,21.32,
1993-04,21.83,
1993-07,21.94,
1993-10,21.91,
1994-01,22.84,
1994-04,23.04,
1994-07,23.52,
1994-10,23.17,
1995-01,24.78,
1995-04,23.90,
1995-07,24.42,
1995-10,24.55,
1996-01,24.99,
1996-04,25.44,
1996-07,25.83,
1996-10,26.61,
1997-01,27.95,
1997-04,28.69,
1997-07,28.84,
1997-10,28.93,
1998-01,29.31,
1998-04,30.10,
1998-07,30.71,
1998-10,29.94,
1999-01,30.72,
1999-04,32.61,
1999-07,33.17,
1999-10,34.86,
2000-01,35.26,
2000-04,36.68,
2000-07,37.09,
2000-10,39.25,
2001-01,39.58,
2001-04,39.75,
2001-07,39.77,
2001-10,38.97,
2002-01,39.08,
2002-04,38.55,
2002-07,38.42,
2002-10,37.61,
2003-01,39.09,
2003-04,37.56,
2003-07,38.00,
2003-10,38.59,
2004-01,39.57,
2004-04,39.98,
2004-07,38.45,
2004-10,39.51,
2005-01,41.04,
2005-04,41.46,
2005-07,42.32,
2005-10,43.89,
2006-01,44.57,
2006-04,43.62,
2006-07,44.57,
2006-10,46.46,
2007-01,46.15,
2007-04,46.47,
2007-07,48.10,
2007-10,48.82,
2008-01,48.60,
2008-04,49.57,
2008-07,49.25,
2008-10,48.23,
2009-01,44.97,
2009-04,44.93,
2009-07,44.36,
2009-10,44.36,
2010-01,46.58,
2010-04,50.51,
2010-07,50.17,
2010-10,51.25,
2011-01,51.32,
2011-04,52.20,
2011-07,53.23,
2011-10,54.27,
2012-01,54.92,
2012-04,55.41,
2012-07,56.96,
2012-10,56.54,
2013-01,60.68,
2013-04,60.78,
2013-07,61.04,
2013-10,62.03,
2014-01,59.43,
2014-04,60.78,Provisional value
2014-07,62.62,Provisional value
2014-10,64.42,Provisional value
