"",BBK01.SJ0196,BBK01.SJ0196_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:29:05,
1995,.,No value available
1996,.,No value available
1997,.,No value available
1998,-,Nothing exists
1999,-,Nothing exists
2000,-,Nothing exists
2001,.,No value available
2002,-,Nothing exists
2003,-,Nothing exists
2004,.,No value available
2005,.,No value available
2006,.,No value available
2007,.,No value available
2008,-,Nothing exists
2009,-,Nothing exists
2010,-,Nothing exists
