"",BBK01.OEAD05G,BBK01.OEAD05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:28,
2002-01,5.655,
2002-04,5.850,
2002-07,5.851,
2002-10,5.734,
2003-01,5.660,
2003-04,5.649,
2003-07,5.606,
2003-10,5.454,
2004-01,5.374,
2004-04,5.364,
2004-07,5.156,
2004-10,5.015,
2005-01,5.101,
2005-04,5.102,
2005-07,5.001,
2005-10,5.033,
2006-01,5.028,
2006-04,5.024,
2006-07,4.976,
2006-10,4.871,
2007-01,5.072,
2007-04,5.236,
2007-07,5.329,
2007-10,5.514,
2008-01,5.776,
2008-04,5.998,
2008-07,6.078,
2008-10,6.084,
2009-01,6.397,
2009-04,6.465,
2009-07,6.426,
2009-10,6.244,
2010-01,6.183,
2010-04,6.200,
2010-07,6.010,
2010-10,5.751,
2011-01,5.764,
2011-04,5.780,
2011-07,5.663,
2011-10,5.654,
2012-01,5.794,
2012-04,5.823,
2012-07,5.814,
2012-10,5.668,
2013-01,5.735,
2013-04,5.688,
2013-07,5.643,
2013-10,5.513,
2014-01,5.579,
2014-04,5.574,
2014-07,5.517,
