"",BBK01.CEB9N0,BBK01.CEB9N0_FLAGS
"",Other mutual funds shares\n debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:01,
1991-01,11.3,
1991-04,12.8,
1991-07,15.7,
1991-10,16.5,
1992-01,20.5,
1992-04,24.6,
1992-07,32.6,
1992-10,47.7,
1993-01,60.8,
1993-04,68.3,
1993-07,72.5,
1993-10,57.3,
1994-01,60.3,
1994-04,61.1,
1994-07,61.7,
1994-10,63.3,
1995-01,62.4,
1995-04,62.8,
1995-07,63.0,
1995-10,63.5,
1996-01,65.8,
1996-04,67.8,
1996-07,68.4,
1996-10,68.4,
1997-01,69.2,
1997-04,70.3,
1997-07,73.3,
1997-10,73.1,
1998-01,75.6,
1998-04,78.8,
1998-07,79.9,
1998-10,80.4,
1999-01,83.0,
1999-04,85.1,
1999-07,87.6,
1999-10,94.1,
2000-01,108.4,
2000-04,116.2,
2000-07,123.3,
2000-10,127.8,
2001-01,132.5,
2001-04,136.4,
2001-07,139.2,
2001-10,143.3,
2002-01,146.9,
2002-04,148.3,
2002-07,148.4,
2002-10,148.0,
2003-01,147.7,
2003-04,148.3,
2003-07,148.7,
2003-10,150.0,
2004-01,157.1,
2004-04,159.7,
2004-07,163.2,
2004-10,164.7,
2005-01,181.4,
2005-04,189.6,
2005-07,202.2,
2005-10,208.8,
2006-01,225.4,
2006-04,219.7,
2006-07,229.8,
2006-10,249.7,
2007-01,258.2,
2007-04,275.8,
2007-07,278.3,
2007-10,280.0,
2008-01,286.1,
2008-04,294.2,
2008-07,287.8,
2008-10,250.4,
2009-01,246.5,
2009-04,260.1,
2009-07,281.5,
2009-10,279.5,
2010-01,292.9,
2010-04,294.7,
2010-07,305.7,
2010-10,317.7,
2011-01,315.3,
2011-04,314.8,
2011-07,286.1,
2011-10,288.4,
2012-01,305.6,
2012-04,299.5,
2012-07,312.9,
2012-10,323.1,
2013-01,349.1,
2013-04,342.1,
2013-07,355.9,
2013-10,364.7,
2014-01,371.4,
