"",BBK01.OEAB17V,BBK01.OEAB17V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:06,
2002-01,17.698,
2002-04,17.951,
2002-07,18.060,
2002-10,18.298,
2003-01,18.161,
2003-04,17.068,
2003-07,17.201,
2003-10,17.172,
2004-01,16.786,
2004-04,16.880,
2004-07,17.008,
2004-10,17.002,
2005-01,17.997,
2005-04,17.976,
2005-07,18.364,
2005-10,18.325,
2006-01,18.210,
2006-04,18.325,
2006-07,18.372,
2006-10,18.375,
2007-01,18.081,
2007-04,17.895,
2007-07,17.801,
2007-10,17.551,
2008-01,17.136,
2008-04,16.599,
2008-07,16.555,
2008-10,16.759,
2009-01,16.649,
2009-04,17.707,
2009-07,17.598,
2009-10,17.855,
2010-01,17.710,
2010-04,17.607,
2010-07,17.222,
2010-10,16.778,
2011-01,16.776,
2011-04,16.822,
2011-07,17.028,
2011-10,16.901,
2012-01,16.869,
2012-04,17.202,
2012-07,17.179,
2012-10,17.180,
2013-01,17.217,
2013-04,17.334,
2013-07,17.517,
2013-10,17.680,
2014-01,17.700,
2014-04,17.940,
2014-07,18.091,
