"",BBK01.OEAA35U,BBK01.OEAA35U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:53,
2002-01,0.397,
2002-04,0.412,
2002-07,0.440,
2002-10,0.432,
2003-01,0.440,
2003-04,0.467,
2003-07,0.472,
2003-10,0.430,
2004-01,0.412,
2004-04,0.404,
2004-07,0.421,
2004-10,0.406,
2005-01,0.415,
2005-04,0.418,
2005-07,0.446,
2005-10,0.421,
2006-01,0.408,
2006-04,0.415,
2006-07,0.419,
2006-10,0.402,
2007-01,0.389,
2007-04,0.400,
2007-07,0.398,
2007-10,0.388,
2008-01,0.377,
2008-04,0.382,
2008-07,0.391,
2008-10,0.397,
2009-01,0.384,
2009-04,0.378,
2009-07,0.375,
2009-10,0.354,
2010-01,0.348,
2010-04,0.346,
2010-07,0.343,
2010-10,0.313,
2011-01,0.314,
2011-04,0.310,
2011-07,0.309,
2011-10,0.293,
2012-01,0.292,
2012-04,0.287,
2012-07,0.290,
2012-10,0.286,
2013-01,0.274,
2013-04,0.273,
2013-07,0.284,
2013-10,0.270,
2014-01,0.263,
2014-04,0.276,
2014-07,0.274,
