"",BBK01.OELI05P,BBK01.OELI05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:53,
2002-01,0.147,
2002-04,0.143,
2002-07,0.142,
2002-10,0.180,
2003-01,0.180,
2003-04,0.178,
2003-07,0.170,
2003-10,0.181,
2004-01,0.154,
2004-04,0.168,
2004-07,0.151,
2004-10,0.153,
2005-01,0.147,
2005-04,0.147,
2005-07,0.145,
2005-10,0.137,
2006-01,0.135,
2006-04,0.133,
2006-07,0.134,
2006-10,0.136,
2007-01,0.146,
2007-04,0.144,
2007-07,0.143,
2007-10,0.146,
2008-01,0.147,
2008-04,0.158,
2008-07,0.153,
2008-10,0.151,
2009-01,0.146,
2009-04,0.142,
2009-07,0.149,
2009-10,0.142,
2010-01,0.136,
2010-04,0.140,
2010-07,0.140,
2010-10,0.129,
2011-01,0.136,
2011-04,0.148,
2011-07,0.158,
2011-10,0.148,
2012-01,0.144,
2012-04,0.144,
2012-07,0.121,
2012-10,0.094,
2013-01,0.087,
2013-04,0.082,
2013-07,0.079,
2013-10,0.089,
2014-01,0.118,
2014-04,0.116,
2014-07,0.110,
