"",BBK01.TYI306,BBK01.TYI306_FLAGS
"",Deposits at agreed notice of up to 3 months / German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:47,
1980-01,0,
1980-02,-322,
1980-03,-1469,
1980-04,-1921,
1980-05,-763,
1980-06,-259,
1980-07,442,
1980-08,322,
1980-09,16,
1980-10,455,
1980-11,640,
1980-12,7238,
1981-01,899,
1981-02,-289,
1981-03,-3137,
1981-04,-2163,
1981-05,-1257,
1981-06,-1327,
1981-07,-624,
1981-08,-776,
1981-09,-1118,
1981-10,-82,
1981-11,905,
1981-12,8570,
1982-01,2005,
1982-02,503,
1982-03,-399,
1982-04,-60,
1982-05,248,
1982-06,8,
1982-07,1107,
1982-08,74,
1982-09,115,
1982-10,874,
1982-11,1265,
1982-12,10065,
1983-01,4287,
1983-02,1605,
1983-03,284,
1983-04,693,
1983-05,-85,
1983-06,-610,
1983-07,2537,
1983-08,19,
1983-09,-573,
1983-10,376,
1983-11,439,
1983-12,6743,
1984-01,1248,
1984-02,-706,
1984-03,-554,
1984-04,-503,
1984-05,-808,
1984-06,-542,
1984-07,593,
1984-08,-512,
1984-09,-191,
1984-10,567,
1984-11,758,
1984-12,8162,
1985-01,2441,
1985-02,625,
1985-03,-737,
1985-04,-568,
1985-05,-866,
1985-06,-98,
1985-07,758,
1985-08,92,
1985-09,491,
1985-10,289,
1985-11,349,
1985-12,8291,
1986-01,1472,
1986-02,450,
1986-03,23,
1986-04,492,
1986-05,81,
1986-06,172,
1986-07,1263,
1986-08,758,
1986-09,322,
1986-10,1298,
1986-11,1381,
1986-12,8426,
1987-01,2579,
1987-02,483,
1987-03,31,
1987-04,54,
1987-05,-148,
1987-06,212,
1987-07,1517,
1987-08,468,
1987-09,-161,
1987-10,433,
1987-11,479,
1987-12,7953,
1988-01,2694,
1988-02,1416,
1988-03,17,
1988-04,764,
1988-05,69,
1988-06,72,
1988-07,780,
1988-08,298,
1988-09,-382,
1988-10,595,
1988-11,369,
1988-12,7166,
1989-01,2323,
1989-02,-526,
1989-03,-2351,
1989-04,-1801,
1989-05,-1614,
1989-06,-1925,
1989-07,-723,
1989-08,-1572,
1989-09,-1337,
1989-10,-2026,
1989-11,-2262,
1989-12,6663,
1990-01,-3344,
1990-02,-2688,
1990-03,-3999,
1990-04,-2959,
1990-05,-2953,
1990-06,-1112,
1990-07,-5057,
1990-08,-4595,
1990-09,-2612,
1990-10,-2893,
1990-11,-2613,
1990-12,8986,
1991-01,-1659,
1991-02,-1602,
1991-03,-1372,
1991-04,-2320,
