"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.US.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.US.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / United States,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:22,
2009-09,19585,
2009-10,18820,
2009-11,19100,
2009-12,20821,
2010-01,20595,
2010-02,21724,
2010-03,24001,
2010-04,25464,
2010-05,24636,
2010-06,23820,
2010-07,23611,
2010-08,22919,
2010-09,23761,
2010-10,24197,
2010-11,26102,
2010-12,27815,
2011-01,26965,
2011-02,27622,
2011-03,27368,
2011-04,27393,
2011-05,28200,
2011-06,27619,
2011-07,27737,
2011-08,25013,
2011-09,24838,
2011-10,26572,
2011-11,26736,
2011-12,28715,
2012-01,29823,
2012-02,30498,
2012-03,31362,
2012-04,31201,
2012-05,31008,
2012-06,31050,
2012-07,32949,
2012-08,33284,
2012-09,33683,
2012-10,32484,
2012-11,33008,
2012-12,33052,
2013-01,35071,
2013-02,37396,
2013-03,40600,
2013-04,40241,
2013-05,42378,
2013-06,41221,
2013-07,42899,
2013-08,42554,
2013-09,43271,
2013-10,44476,
2013-11,45477,
2013-12,44840,
2014-01,44444,
2014-02,45888,
2014-03,45974,
2014-04,46815,
2014-05,48805,
2014-06,49697,
2014-07,50382,
2014-08,53090,
2014-09,54643,
2014-10,55923,
2014-11,58516,
