"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F52._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F52._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Investmentfondsanteile / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:06,
1991-01,22.701,
1991-02,-36.812,
1991-03,-8.447,
1991-04,14.485,
1991-05,-6.146,
1991-06,32.831,
1991-07,0.363,
1991-08,-23.489,
1991-09,30.368,
1991-10,11.391,
1991-11,56.378,
1991-12,-3.712,
1992-01,256.321,
1992-02,11.402,
1992-03,85.053,
1992-04,-9.415,
1992-05,10.923,
1992-06,5.462,
1992-07,-86.413,
1992-08,-58.383,
1992-09,-38.838,
1992-10,-62.317,
1992-11,-59.144,
1992-12,-56.008,
1993-01,-75.233,
1993-02,-41.685,
1993-03,367.286,
1993-04,372.750,
1993-05,128.600,
1993-06,53.692,
1993-07,7.526,
1993-08,177.667,
1993-09,111.814,
1993-10,166.780,
1993-11,272.339,
1993-12,503.908,
1994-01,199.151,
1994-02,231.928,
1994-03,130.319,
1994-04,350.386,
1994-05,428.415,
1994-06,178.058,
1994-07,33.333,
1994-08,25.310,
1994-09,-38.633,
1994-10,-90.265,
1994-11,820.328,
1994-12,314.913,
1995-01,-104.886,
1995-02,54.103,
1995-03,-155.530,
1995-04,206.174,
1995-05,-258.210,
1995-06,-269.994,
1995-07,-168.021,
1995-08,124.666,
1995-09,-240.506,
1995-10,141.187,
1995-11,171.386,
1995-12,-36.665,
1996-01,93.102,
1996-02,124.576,
1996-03,-40.746,
1996-04,98.135,
1996-05,21.939,
1996-06,-387.114,
1996-07,-199.519,
1996-08,10.616,
1996-09,-14.031,
1996-10,-180.604,
1996-11,-225.462,
1996-12,-486.651,
1997-01,509.663,
1997-02,166.464,
1997-03,-115.546,
1997-04,0.738,
1997-05,229.711,
1997-06,167.190,
1997-07,-57.676,
1997-08,-56.512,
1997-09,-1481.208,
1997-10,-1599.916,
1997-11,123.869,
1997-12,-19.639,
1998-01,659.111,
1998-02,149.938,
1998-03,-649.513,
1998-04,-211.940,
1998-05,169.699,
1998-06,-568.788,
1998-07,267.258,
1998-08,194.186,
1998-09,-699.873,
1998-10,20.776,
1998-11,-1548.995,
