"",BBK01.OEAE07G,BBK01.OEAE07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:50,
2002-01,8.232,
2002-04,8.281,
2002-07,8.263,
2002-10,8.384,
2003-01,8.318,
2003-04,8.222,
2003-07,8.171,
2003-10,8.352,
2004-01,8.174,
2004-04,8.197,
2004-07,8.116,
2004-10,8.190,
2005-01,8.318,
2005-04,8.264,
2005-07,8.281,
2005-10,8.417,
2006-01,8.210,
2006-04,8.214,
2006-07,8.188,
2006-10,8.231,
2007-01,8.115,
2007-04,8.169,
2007-07,8.102,
2007-10,8.239,
2008-01,8.163,
2008-04,8.198,
2008-07,8.122,
2008-10,8.292,
2009-01,8.149,
2009-04,8.486,
2009-07,8.470,
2009-10,8.294,
2010-01,8.585,
2010-04,8.749,
2010-07,8.710,
2010-10,8.812,
2011-01,8.796,
2011-04,8.883,
2011-07,8.801,
2011-10,8.887,
2012-01,8.706,
2012-04,10.410,
2012-07,10.634,
2012-10,10.792,
2013-01,10.792,
2013-04,10.861,
2013-07,10.878,
2013-10,10.890,
2014-01,10.926,
2014-04,11.083,
2014-07,11.096,
