"",BBK01.OEYJ10M,BBK01.OEYJ10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:06:30,
2002-01,0.002,
2002-04,0.003,
2002-07,0.006,
2002-10,0.010,
2003-01,0.013,
2003-04,0.016,
2003-07,0.020,
2003-10,0.026,
2004-01,0.029,
2004-04,0.032,
2004-07,0.061,
2004-10,0.040,
2005-01,0.043,
2005-04,0.045,
2005-07,0.047,
2005-10,0.048,
2006-01,0.049,
2006-04,0.049,
2006-07,0.051,
2006-10,0.052,
2007-01,0.052,
2007-04,0.052,
2007-07,0.053,
2007-10,0.052,
2008-01,0.053,
2008-04,0.053,
2008-07,0.053,
2008-10,0.059,
2009-01,0.058,
2009-04,0.082,
2009-07,0.098,
2009-10,0.093,
2010-01,0.089,
2010-04,0.084,
2010-07,0.080,
2010-10,0.075,
2011-01,0.072,
2011-04,0.072,
2011-07,0.073,
2011-10,0.072,
2012-01,0.072,
2012-04,0.072,
2012-07,0.062,
2012-10,0.060,
2013-01,0.059,
2013-04,0.058,
2013-07,0.056,
2013-10,0.054,
2014-01,0.051,
2014-04,0.047,
2014-07,0.045,
